miRseqMature	TCGA-44-6146-01A-11H-A279-13	TCGA-44-6147-01A-11H-A279-13	TCGA-44-6775-01A-11H-A279-13	TCGA-A6-5656-01A-21H-A279-13	TCGA-A6-6650-01A-11H-A279-13	TCGA-A6-6780-01A-11H-A279-13	TCGA-A6-6781-01A-22H-A279-13	TCGA-A7-A0DB-01A-11R-A27D-13	TCGA-A7-A13D-01A-13R-A27D-13	TCGA-A7-A13E-01A-11R-A27D-13	TCGA-A7-A26E-01A-11R-A27D-13	TCGA-A7-A26J-01A-11R-A27D-13	TCGA-B2-3923-01A-02R-A27D-13	TCGA-B2-3924-01A-02R-A27D-13	TCGA-B2-5633-01A-01R-A27D-13	TCGA-B2-5635-01A-01R-A27D-13	TCGA-BK-A0CA-01A-21R-A27D-13	TCGA-BK-A0CC-01A-21R-A27D-13	TCGA-BK-A139-01A-11R-A27D-13	TCGA-BK-A26L-01A-11R-A27D-13	TCGA-BL-A0C8-01A-11R-A27D-13	TCGA-BL-A13I-01A-11R-A27D-13	TCGA-BL-A13J-01A-11R-A27D-13
hsa-let-7a-5p|MIMAT0000062	17.4728256731495	17.7330418104087	18.3615454633929	14.959005752031	16.1378116837464	15.2101766641671	16.0149576037254	18.261764385718	16.9030462751014	17.3201482841201	19.1428698960375	17.9591529583003	16.780936987036	18.7644440046022	17.5020315003502	19.0074352235907	17.8520905481145	15.806549621986	15.1283971621375	16.8144948481596	16.4680512291742	15.5035152071952	16.5464574142903
hsa-let-7a-3p|MIMAT0004481	4.90689059560852	6.59991284218713	8.0389189892923	4.39231742277876	6	6.2667865406949	6.82017896241519	8.37937836707126	7.5077946401987	8.18487534290828	8.35755200461808	8.34872815423108	6.82017896241519	7.31288295528436	5.75488750216347	7.33091687811462	9.13955135239879	7.65821148275179	5.83289001416474	7.94836723158468	6.18982455888002	7.94251450533924	8.29001884693262
hsa-let-7a-2-3p|MIMAT0010195	3.58496250072116	6.58496250072116	6.2667865406949	5.16992500144231	2.58496250072116	1	6.12928301694497	5.90689059560852	5.83289001416474	4.85798099512757	7.06608919045777	5.6724253419715	1.58496250072116	5.55458885167764	3	5.12928301694497	5.16992500144231	5.32192809488736	3.8073549220576	5.04439411935845	2	7.4178525148859	5.95419631038687
hsa-let-7b-5p|MIMAT0000063	18.3907105706525	17.7300189590848	17.7745747467106	15.4458878054797	15.0148050885999	13.9296282830246	16.602365406207	18.4669527000531	17.6477535236479	17.1329515051882	19.1725813298352	17.7030924782184	15.9777494743717	17.7581451221628	17.4964949310121	17.8071096048038	17.4282047579147	15.0433691139577	14.7170873165582	15.9363388800185	15.3357392615715	14.4711036110579	16.5982270091682
hsa-let-7b-3p|MIMAT0004482	7.21916852046216	7.94251450533924	8.09275714091985	6.85798099512757	6.16992500144231	4.95419631038687	7.05528243550119	8.55074678538324	7.11894107272351	7.94251450533924	9.08214904135387	8.42206476617281	6.98868468677217	8.13442632022093	7.66533591718518	8.22881869049588	7.66533591718518	6.20945336562895	5.83289001416474	6.71424551766612	6.22881869049588	5.70043971814109	7.19967234483636
hsa-let-7c-5p|MIMAT0000064	12.6845294824185	15.058879600166	14.2284429397343	10.8955752823807	9.29462074889163	8.05528243550119	10.6537407787066	14.8876490185719	12.739569674026	14.4407394230143	16.0211534962026	14.5930992860271	13.0332509140987	15.0185479418717	15.1594377695202	15.6275053859486	14.9719925300976	11.9296282830246	10.3944626946103	13.1472049249422	9.5274770060604	9.58120058192496	12.8747892828141
hsa-let-7d-5p|MIMAT0000065	10.5478585060584	10.6036263449862	10.6706562491184	8.83920378809694	9.60177078840771	8.58871463558226	9.74819284958946	9.77313920671969	9.98726401207254	10.1241213118292	10.902375114486	10.3531468254981	9.45327063401062	11.0244471240406	9.79603960882977	11.0667619323869	10.5264992391366	8.70735913208088	9.59245703726808	8.67595703294175	9.45738087907253	9.08214904135387	10.0953970227926
hsa-let-7d-3p|MIMAT0004484	12.2237000759863	12.3297963382207	12.319672120947	12.1858046151085	12.44759985828	11.2603315185576	12.217654833364	11.5230718269404	11.3525952311343	11.567480801143	11.7334390828994	11.8792003179474	10.6193029554157	11.8595347863827	11.5631962722167	11.9155059622319	12.5060595888279	10.0457596613827	10.8955752823807	10.631177055704	11.2894425756883	11.7747870596012	11.4640351521899
hsa-let-7e-5p|MIMAT0000066	13.3052067590087	13.998237821888	14.3751752207998	11.3123157466901	11.732591435965	10.467605550083	12.2859801059282	13.3164229655036	13.5229492686393	12.8346685576909	13.8088636491874	13.0940776856719	12.2390017577656	13.357002092265	13.5763662431546	14.3887572842166	13.064911136699	13.6771690577161	11.7300455028792	13.7282394114253	12.5767205250802	11.6193029554157	11.4093909361377
hsa-let-7e-3p|MIMAT0004485	5.90689059560852	7.27612440527424	6.4093909361377	5.78135971352466	3.8073549220576	1.58496250072116	5.7279204545632	6.5077946401987	6.71424551766612	5.4262647547021	7.74146698640115	6.76818432477693	5.6724253419715	5.78135971352466	6.4093909361377	6.75488750216347	6.75488750216347	7.89481776330794	5.49185309632967	6.71424551766612	5.95419631038687	6.10852445677817	5.64385618977472
