hsa-let-7a-3p,7.36713,7.62953,6.40354,7.41222,8.46911,7.98417,7.53619,7.80495,7.62117,7.14604,7.31177,7.42286,7.94025,7.41783,7.56107,6.21046,7.84673,7.63278,7.86813,7.97948,8.28705,6.79594,8.06009
hsa-let-7a-5p,10.1119,10.6277,9.21209,10.4481,11.2591,10.9977,11.1135,10.9934,10.3925,10.1254,10.6542,10.388,10.6479,10.5742,10.4779,9.34441,10.5641,10.6179,10.6569,11.0411,11.0903,9.89999,11.2701
hsa-let-7b-3p,6.7944,6.87269,6.55986,6.53849,7.24706,7.12638,6.96865,7.02503,7.2326,6.59,6.85362,7.04432,6.72253,6.97932,7.14586,6.36067,7.00396,7.01871,7.23587,7.37074,7.24114,6.68508,7.45757
hsa-let-7b-5p,14.1397,14.3426,13.9744,14.2397,14.2568,14.1271,14.3797,14.3974,14.15,14.1986,14.2728,14.1896,14.0572,14.342,14.2579,14.0465,14.1336,14.2373,14.2115,14.2543,14.1395,14.0898,14.2946
hsa-let-7c,10.2786,10.8867,9.7394,10.6642,11.0498,10.5583,11.0088,11.1662,10.3215,10.4819,10.6981,10.3492,10.6244,10.7618,10.5352,9.76918,10.6921,10.7595,10.5475,10.6361,10.7183,10.3809,10.9108
hsa-let-7d-3p,9.86204,10.0225,9.52738,9.92913,10.1698,10.1235,9.7768,10.0944,10.439,9.62369,9.99662,9.89941,9.91081,10.123,10.0788,9.21616,10.1225,10.1022,10.1951,10.2818,10.3034,9.77962,10.5212
hsa-let-7d-5p,8.50621,8.89856,8.04081,8.69384,9.26494,9.3441,8.9871,9.23026,8.71987,8.71925,8.86803,8.76375,9.07018,8.90544,8.87514,7.92258,8.79124,8.96976,8.97428,9.1258,9.26842,8.49949,9.39217
hsa-let-7e-3p,5.36243,5.71009,5.10315,5.45148,6.07725,5.83105,5.09292,5.79439,5.76008,5.34923,5.72789,5.17926,5.61472,5.80366,5.50961,4.83391,5.81882,5.90538,5.62285,5.65521,5.79667,5.3504,6.0761
hsa-let-7e-5p,7.93089,8.37369,7.04617,8.12722,8.70412,8.18948,8.4522,8.68437,7.9514,7.66616,8.28285,7.79275,8.19757,8.26957,8.35427,7.12701,8.14485,8.37031,8.15342,8.46933,8.68037,7.56384,8.56998
hsa-let-7f-1-3p,4.87481,5.0839,3.90693,4.63356,5.41584,5.32833,5.13219,5.1552,5.44157,4.49167,4.65655,4.71351,5.22599,4.97337,5.47225,4.48052,5.0322,4.9721,5.2841,4.95712,5.4846,3.921,5.77202
hsa-let-7f-2-3p,5.46358,5.39412,4.79213,5.60326,6.13773,5.6582,6.0113,6.11968,5.25169,5.4118,5.57783,5.11803,6.33931,5.52377,5.7316,4.78798,5.74966,5.51258,5.98664,6.03521,6.16583,5.42064,5.61737
hsa-let-7f-5p,9.11415,9.60316,7.99445,9.40812,10.4075,10.1356,10.2201,9.86066,9.22784,9.11344,9.53857,9.35138,9.79637,9.33716,9.49785,8.18455,9.58577,9.58717,9.69417,10.0549,10.2643,8.85295,10.2123
hsa-let-7g-3p,3.76281,3.91057,3.94834,3.86017,3.42093,3.77375,3.95998,3.74439,3.6722,3.82411,3.56507,4.02462,4.13469,3.61546,4.32622,4.42748,3.69994,3.85636,3.89764,3.73501,3.75402,3.59174,3.51927
hsa-let-7g-5p,11.5942,11.8237,10.8674,11.6554,12.456,12.046,12.3409,11.9363,11.4499,11.4127,11.6717,11.547,12.0989,11.6902,11.8275,10.7397,11.8512,11.7391,11.973,12.1414,12.2074,11.2376,12.1913
hsa-let-7i-3p,7.97672,7.61012,7.9395,7.59181,7.67008,7.74072,7.79265,7.56862,7.77407,7.80507,7.60391,8.03329,7.90804,7.72483,7.88271,8.04938,7.78733,7.68927,7.69193,7.82391,7.64667,7.704,7.5307
hsa-let-7i-5p,14.809,15.0911,14.6179,15.0822,15.1211,14.8183,15.46,15.1931,14.5826,14.8904,14.8615,14.8257,15.1012,14.9086,14.8777,14.6927,14.9521,14.9217,14.762,14.8425,14.8551,14.8817,14.7676
hsa-miR-1,4.67865,5.3127,3.8624,4.65125,5.90728,5.22908,6.01376,5.26571,4.75562,4.03875,4.74392,4.33869,5.38757,4.86983,4.8522,3.96755,4.93396,5.04344,4.82957,5.02574,5.86363,4.00608,5.10918
hsa-miR-100-5p,15.3207,15.3162,15.3407,15.3868,15.1007,14.9714,15.3405,15.1226,15.1907,15.1914,15.1738,15.126,15.1756,15.3477,15.2755,15.2093,15.1641,15.0624,15.3,15.2024,15.1119,15.3763,15.1648
hsa-miR-101-3p,14.1307,14.2029,13.7135,14.1787,14.2351,14.0709,14.3531,14.0133,13.7973,13.8721,13.9485,14.0568,14.5787,13.8315,14.0501,14.0714,14.0113,13.9065,13.9003,14.119,14.0522,13.9221,13.7494
