miRseqMature	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-let-7a-5p|MIMAT0000062	15.6643639471687	15.0014521783272	16.5862094092142	15.5822302063976	15.6345841934937	15.2146985676983	15.5004062174546	13.8416626206124	16.3180131405961	15.0327775677729	15.6729777389001	17.0438389985	14.9428351907727	16.2384607203002	15.3168118368582	14.2078532072343	16.4814368206939	14.3116773703495	16.798535084694	14.5664703231463	15.8602625503709	15.2613236550689	16.1559250160266	15.5913470246285	15.0655423565557	15.4329007026703	15.2621315584373	17.3299276965179	14.1063993603051	15.6380398878204	16.3262012389819	15.3900681682832	15.6853784568309	15.5503259379531	14.8543327261414	15.7276811906318	16.33491919652	15.6296981267781	16.1607183876545	15.6823637054584	14.5716341518571	16.0333584711534	15.9965617566546	14.9620374330983	16.729408316984	17.7362169314502	14.869352859887	16.1517895439816	15.2645892081268	16.0874628412503	15.3040660631273	15.9614496943982	14.8983179595439	16.6594106262532	16.8731797351905	17.7480290168134
hsa-let-7a-3p|MIMAT0004481	8.17990909001493	7.75488750216347	7.62935662007961	9.31061278165953	7.4093909361377	7.37503943134692	7.95419631038687	6.70043971814109	7.92481250360578	7.27612440527424	8.1548181090521	8.86418614465428	8.08746284125034	7.6724253419715	7.35755200461808	8.08214904135387	8.6582114827518	7.65105169117893	8.37937836707126	7.65105169117893	8.86727873970966	8.29462074889163	8.07681559705083	7.49185309632967	7.16992500144231	7.88264304936184	8.55458885167764	8.49585502688717	6.98868468677217	8.02790599656988	8.08746284125034	6.52356195605701	8.05528243550119	8.34872815423108	8.467605550083	7.59991284218713	8.33091687811462	7.49984588708321	7.72109918870719	7.63662462054365	6.3037807481771	7.89481776330794	7.92481250360578	7.13955135239879	9.17990909001493	9.04165915163721	7.78135971352466	9	7.91886323727459	8.467605550083	8.55458885167764	8.25266543245025	7.06608919045777	8.3037807481771	7.78790255939143	8.92481250360578
hsa-let-7a-2-3p|MIMAT0010195	8.7176764230664	5.78135971352466	6.75488750216347	5.28540221886225	7.54689445988764	4.24792751344359	5.28540221886225	5.64385618977472	6.18982455888002	7.75488750216347	7.09803208296053	6.97727992349992	6.94251450533924	5.35755200461808	6.22881869049588	3.90689059560852	5.64385618977472	6.82017896241519	7.85174904141606	3	6.18982455888002	3.16992500144231	5.49185309632967	5.28540221886225	5.08746284125034	5.8073549220576	8.79766152585376	5	4.64385618977472	7.2667865406949	7.08746284125034	4.4594316186373	6.71424551766612	6.35755200461808	7.59991284218713	NA	4.08746284125034	7	5.85798099512757	6.37503943134692	6.10852445677817	6.55458885167764	7.09803208296053	5.16992500144231	5.32192809488736	6.14974711950468	6.02236781302845	7.79441586635011	4.52356195605701	6.96578428466209	6.83289001416474	5.32192809488736	5.4594316186373	4	5.20945336562895	6.56985560833095
hsa-let-7b-5p|MIMAT0000063	12.4165336601996	12.8728672267866	14.085057450393	13.2005921376893	14.7551483826258	13.4809163935333	13.1984450414524	12.8055423643587	15.0740578161347	13.344434621924	14.0882085271459	15.8871015920265	12.6750749203854	15.7040927634015	13.6284455401372	13.336924914182	15.03346602019	13.4678602407079	16.3825058234031	12.5884804128298	13.9938229367459	11.7582232147267	15.7793859293242	15.2487058960396	12.4787696194758	14.5655186380714	13.1978309980122	16.970959675994	12.6379833037779	15.1045987535644	15.2132941154	14.0799013985286	13.7521715451624	13.826051879582	13.1653781133461	13.530040495829	15.5126787445497	14.9969588954838	14.380258121093	14.5934494830612	13.1500645790815	15.3467214795899	15.3994114517469	13.1148810288415	15.8132050000264	16.4626620235681	14.2308460552402	15.3037807481771	12.8437248062992	14.5074849625963	14.3498340914572	15.4181490911108	12.443202577297	16.4253470514328	15.9066792478472	17.613803849921
hsa-let-7b-3p|MIMAT0004482	4.24792751344359	3.8073549220576	4.24792751344359	4	5	3.70043971814109	3.4594316186373	4.16992500144231	5.75488750216347	4.4594316186373	4.64385618977472	5.24792751344359	2.58496250072116	5.90689059560852	4.58496250072116	4.16992500144231	5.7279204545632	5.12928301694497	6.79441586635011	4.32192809488736	4.75488750216347	2.8073549220576	6.06608919045777	4.90689059560852	2.8073549220576	5.28540221886225	4.08746284125034	6.08746284125034	2.8073549220576	5.35755200461808	5.8073549220576	4.52356195605701	4.39231742277876	4.8073549220576	4.24792751344359	4.8073549220576	5.55458885167764	5.49185309632967	4.75488750216347	5.04439411935845	3.70043971814109	6.4594316186373	4.70043971814109	4.16992500144231	6.76818432477693	6.22881869049588	5.49185309632967	5.70043971814109	4.4594316186373	4.8073549220576	5.6724253419715	6.12928301694497	3.4594316186373	5.7279204545632	5.58496250072116	6.79441586635011
hsa-let-7c-5p|MIMAT0000064	14.0799013985286	15.5087232743678	15.4810425749338	13.1081977225358	16.0211534962026	13.8964270161696	12.9601829818319	12.380731612683	13.3327359012479	15.1771469824176	14.8211262179404	13.2030420555625	13.8469594400114	14.3757861152251	13.8970891283128	10.9188632372746	9.38586240064146	14.8887908053086	16.6521307293898	11.2288186904959	15.4209799712177	11.0647427647503	12.163335192082	14.0833131086508	12.326710358347	13.5039499316033	13.4994722125616	14.7469341363723	12.2091487103557	15.5140975968198	15.0468255924826	13.2939026686215	14.4095898233987	12.8472531383208	13.8175832886776	11.8684367558582	11.7304701371842	15.6219946048447	14.047294352783	14.6964785783518	13.4560976849642	13.2768513869177	16.2714995033494	15.282436909049	15.6914981790974	15.8307875186837	12.3793783670713	13.7003313385414	11.2917462808339	14.0677704574478	14.6981077606083	9.70217268536555	12.0501887675964	12.2452555803066	15.7276811906318	10.3331553503106
hsa-let-7d-5p|MIMAT0000065	8.26209484537018	8.81057163474115	8.83605035505807	8.0389189892923	10.3641346550081	8.98584193700334	7.36632221424582	6.55458885167764	10.4115109880121	7.45121111183233	10.1636496760158	9.90086680798075	8.39231742277876	10.270295326472	7.74146698640115	7.4757334309664	9.86727873970966	10.1331422124006	10.9439799143437	7.10852445677817	9.33091687811462	5.12928301694497	10.742309436084	10.2934716488381	7.53915881110803	10.3219280948874	8.20945336562895	11.2252074369435	8.34429590791582	10.5176693881338	9.92035285541508	9.14974711950468	10.1189410727235	8.64745842645492	9.211888294546	7.467605550083	9.83447104998422	11.5284541107648	9.5018371849023	8.5077946401987	9.2644426002266	10.0953970227926	10.8447057644119	9.00562454919388	10.4460494067166	10.1836353814732	8.97727992349992	9.8811139606751	7.60733031374961	9.86727873970966	8.73470962022584	9.95274124718649	8.27612440527424	9.24079133216196	10.2045711442492	10.2550285698187
hsa-let-7d-3p|MIMAT0004484	8.5352753766208	9.35535109642481	9.403012023575	9.08746284125034	10.9922302649659	10.0484868739923	8.23840473932508	7.44294349584873	10.237209960755	9.1006623390052	10.8948177633079	11.3037807481771	8.1548181090521	10.129283016945	8.62205181945638	8.32192809488736	11.0841440106151	11.4752267777423	11.4231159101471	7.98299357469431	9.70043971814109	6	10.3151495622563	10.8970891283128	8.97441458980553	11.5593770905267	9.60362634498619	11.0188956211216	10.0320457269308	11.6289011520282	10.3955341354623	10.0633950812885	9.72109918870719	9.13442632022093	9.99293833616581	7.72109918870719	11.1484765821783	11.6339034093485	9.78790255939143	10.0306671362469	9.32867492732795	11.2276159434142	11.4604558963096	9.52160043972373	11.0341111460966	9.93369065495223	11.1642784383012	11.0573148777827	8.42206476617281	10.4460494067166	10.4625022725973	10.3072008091408	8.51175265376738	10.5381889320524	10.3782948559119	10.8970891283128
hsa-let-7e-5p|MIMAT0000066	11.5999128421871	12.8454900509444	13.946997627633	11.8997345423575	12.8896940793821	11.2185632361903	12.240791332162	12.3561768305164	13.3159986226286	12.0122753448561	12.9989429514431	13.7695279531673	12.1241213118292	12.7034710460719	11.8951965725633	11.7129568216975	12.1981380524011	12.3638609767295	12.6309496268329	12.593157658103	12.6202198255075	10.8872206154684	12.4328028563519	11.8273427042341	13.0758133774615	13.0096536922341	12.7410455770098	12.9955905123663	11.8336807486547	13.1738332636821	13.1764848472919	12.9106427304696	12.5461710022674	12.7893298600924	12.6797000057692	10.5147140541385	13.8598259360337	12.678820179524	13.3002095422324	11.6193029554157	12.7170337494909	12.3353903546939	13.4581502480576	14.307129640503	13.0124499524256	13.7312129466071	11.567480801143	12.77169578985	12.6799198785184	13.5385527131111	11.5947911180893	11.8618623400592	12.0714623625566	11.5507467853832	12.9955905123663	13.6717621863446
hsa-let-7e-3p|MIMAT0004485	6.83289001416474	8.12928301694497	8.01680828768655	6.37503943134692	7.97727992349992	6.39231742277876	7.22881869049588	7.82017896241519	7.64385618977472	6.68650052718322	7.85174904141606	8.38801728534514	7.70735913208088	6.83289001416474	7.10852445677817	7.11894107272351	7.06608919045777	8.90689059560852	6.78135971352466	7.85174904141606	7.91886323727459	6.22881869049588	7.21916852046216	6.71424551766612	7.88874324889826	7.77478705960117	8.34872815423108	6.64385618977472	7.07681559705083	7.86418614465428	7.94836723158468	7.06608919045777	7.64385618977472	8.30833903013941	8.70390357344466	4.32192809488736	7.95419631038687	8.01680828768655	8.17990909001493	6.14974711950468	7.51569983828404	7.27612440527424	8.96000193206808	9.29232163280204	7.11894107272351	8.2240016741981	7.02236781302845	8.31288295528435	7.34872815423108	8.82336724004623	7.13955135239879	6.16992500144231	6.55458885167764	5.8073549220576	6.79441586635011	7.08746284125034
