miRseqMature	TCGA-3H-AB3K-01A-11R-A404-13	TCGA-3H-AB3L-01A-11R-A404-13	TCGA-3H-AB3M-01A-11R-A404-13	TCGA-3H-AB3O-01A-11R-A404-13	TCGA-3H-AB3S-01A-21R-A404-13	TCGA-3H-AB3T-01A-11R-A404-13	TCGA-3H-AB3U-01A-21R-A404-13	TCGA-3H-AB3X-01A-11R-A404-13	TCGA-3U-A98D-01A-12R-A404-13	TCGA-3U-A98E-01A-11R-A404-13	TCGA-3U-A98F-01A-11R-A404-13	TCGA-3U-A98G-01A-11R-A404-13	TCGA-3U-A98H-01A-11R-A404-13	TCGA-3U-A98I-01A-11R-A404-13	TCGA-3U-A98J-01A-11R-A404-13	TCGA-LK-A4NW-01A-11R-A34G-13	TCGA-LK-A4NY-01A-11R-A34G-13	TCGA-LK-A4NZ-01A-12R-A34G-13	TCGA-LK-A4O0-01A-11R-A34G-13	TCGA-LK-A4O2-01A-11R-A34G-13	TCGA-LK-A4O4-01A-11R-A34G-13	TCGA-LK-A4O5-01A-11R-A34G-13	TCGA-LK-A4O6-01A-11R-A34G-13	TCGA-LK-A4O7-01A-11R-A34G-13	TCGA-MQ-A4KX-01A-11R-A34G-13	TCGA-MQ-A4LC-01A-31R-A34G-13	TCGA-MQ-A4LI-01A-11R-A34G-13	TCGA-MQ-A4LJ-01A-11R-A34G-13	TCGA-MQ-A4LM-01A-11R-A34G-13	TCGA-MQ-A4LP-01A-11R-A34G-13	TCGA-MQ-A4LV-01A-11R-A34G-13	TCGA-MQ-A6BL-01A-11R-A34G-13	TCGA-MQ-A6BN-01A-12R-A34G-13	TCGA-MQ-A6BQ-01A-11R-A34G-13	TCGA-MQ-A6BR-01A-11R-A34G-13	TCGA-MQ-A6BS-01A-12R-A34G-13	TCGA-NQ-A57I-01A-11R-A34G-13	TCGA-NQ-A638-01A-11R-A34G-13	TCGA-SC-A6LM-01A-11R-A34G-13	TCGA-SC-A6LN-01A-11R-A34G-13	TCGA-SC-A6LP-01A-11R-A34G-13	TCGA-SC-A6LQ-01A-11R-A34G-13	TCGA-SC-A6LR-01A-11R-A34G-13	TCGA-SC-AA5Z-01A-21R-A404-13	TCGA-SH-A7BC-01A-11R-A34G-13	TCGA-SH-A7BD-01A-11R-A34G-13	TCGA-SH-A7BH-01A-11R-A34G-13	TCGA-SH-A9CT-01A-11R-A404-13	TCGA-SH-A9CU-01A-11R-A404-13	TCGA-TS-A7OU-01B-11R-A404-13	TCGA-TS-A7OY-01A-11R-A34G-13	TCGA-TS-A7OZ-01A-21R-A404-13	TCGA-TS-A7P0-01A-11R-A34G-13	TCGA-TS-A7P1-01A-41R-A404-13	TCGA-TS-A7P3-01A-12R-A34G-13	TCGA-TS-A7P6-01A-21R-A34G-13	TCGA-TS-A7P7-01A-11R-A404-13	TCGA-TS-A7P8-01A-11R-A34G-13	TCGA-TS-A7PB-01A-11R-A34G-13	TCGA-TS-A8AF-01A-11R-A404-13	TCGA-TS-A8AI-01A-11R-A404-13	TCGA-TS-A8AS-01A-21R-A404-13	TCGA-TS-A8AV-01A-12R-A404-13	TCGA-TS-A8AY-01A-21R-A404-13	TCGA-UD-AABY-01A-12R-A404-13	TCGA-UD-AABZ-01A-12R-A404-13	TCGA-UD-AAC1-01A-11R-A404-13	TCGA-UD-AAC4-01A-11R-A404-13	TCGA-UD-AAC5-01A-11R-A404-13	TCGA-UD-AAC6-01A-11R-A404-13	TCGA-UD-AAC7-01A-11R-A404-13	TCGA-UT-A88C-01B-11R-A404-13	TCGA-UT-A88D-01B-11R-A404-13	TCGA-UT-A88E-01B-11R-A404-13	TCGA-UT-A88G-01B-11R-A404-13	TCGA-UT-A97Y-01A-21R-A404-13	TCGA-XT-AASU-01A-11R-A404-13	TCGA-YS-A95B-01A-11R-A404-13	TCGA-YS-A95C-01A-11R-A404-13	TCGA-YS-AA4M-01A-11R-A404-13	TCGA-ZN-A9VO-01A-11R-A404-13	TCGA-ZN-A9VP-01A-11R-A404-13	TCGA-ZN-A9VQ-01A-11R-A404-13	TCGA-ZN-A9VS-01A-11R-A404-13	TCGA-ZN-A9VU-01A-11R-A404-13	TCGA-ZN-A9VV-01A-11R-A404-13	TCGA-ZN-A9VW-01A-11R-A404-13
hsa-let-7a-5p|MIMAT0000062	17.1120118152893	15.9280093820217	17.4205935214622	16.7581581378837	17.4864029652184	16.3476732681181	17.3642287199271	17.3947808616713	18.0984587979347	16.9653784696114	16.9739887813569	17.5875870895765	16.1309525818838	16.9270140127974	16.7369435802189	18.1389866899531	19.6131563626951	18.6151482560383	16.9647244162734	16.4130989849153	18.888918605394	17.7345111725109	17.7976425295686	17.4706747598857	19.0718891539677	17.4798434058126	17.4953163509907	17.5837952983866	17.2698937107221	17.8615534279965	16.0594923396277	16.8459677665664	18.3658781346483	18.2686699190473	19.2179837223156	18.5510322905246	17.1558163395503	17.6911573597657	16.5501154681921	17.4944884278759	18.1826125802187	18.8737114448605	18.4599678546821	17.4855856321233	17.3154326379054	17.7256258749042	18.4282129380579	17.2754061512318	18.1413837330965	17.1874004045307	16.4583265040117	17.5267361028812	17.4237232535722	17.5042526087391	17.7372539458568	19.3712789307834	17.1214121005074	17.3251561036843	18.8519106573404	17.8546797085556	17.1868396615308	17.6026336291411	16.7906412217282	18.5711860173255	18.4474545742086	16.7354899165025	18.2259040590984	16.5370515246629	17.1329816185293	17.2171341364078	16.5829064168814	17.7301184957957	17.9363101210797	16.7547700905629	17.5462011535791	16.9903255998312	16.4552308832847	16.6066510005281	17.2798463199814	16.6366812578993	16.8921277259819	16.4758442376451	18.9311356958776	17.8757673466059	16.1965637074176	17.066267918132	17.2008603001799
hsa-let-7a-3p|MIMAT0004481	8.29920801838728	7.34872815423108	7.18982455888002	6.98868468677217	8.29462074889163	6.6724253419715	6.68650052718322	7.4594316186373	8.09275714091985	7.60733031374961	6.78135971352466	7.05528243550119	5.16992500144231	7.32192809488736	7.18982455888002	7.06608919045777	7.73470962022584	9.09275714091985	6.55458885167764	6.52356195605701	7.61470984411521	8.21431912080077	6.02236781302845	7.27612440527424	8.34429590791582	6.4757334309664	5.28540221886225	7.18982455888002	7.62205181945638	7.8703647195834	5.8073549220576	6.84549005094437	8.4262647547021	7.68650052718322	8.68999797141945	7.57742882803575	7.467605550083	8.70735913208088	6.95419631038687	7.48381577726426	7.31288295528436	8.38370429247405	7.69348695749933	7.62935662007961	8.06608919045777	7.76818432477693	7.97154355395077	7.58496250072116	7.56985560833095	6.95419631038687	7.11894107272351	8.04984854945056	6.75488750216347	8.12412131182919	7.96578428466209	7.99435343685886	7.5077946401987	7.16992500144231	8.4757334309664	8.58871463558226	7.57742882803575	6.65821148275179	6.88264304936184	8.31741261376487	8.88874324889826	6.02236781302845	7.82017896241519	7.49185309632967	7.59245703726808	6.93073733756289	7.3037807481771	7.78135971352466	8.02790599656988	6.70043971814109	7.4594316186373	7.66533591718518	6.06608919045777	7.21916852046216	6.39231742277876	6.52356195605701	6.74146698640115	7.24792751344359	8.02236781302845	6.89481776330794	6.59991284218713	7.3037807481771	7.70043971814109
hsa-let-7a-2-3p|MIMAT0010195	6.78135971352466	6.93073733756289	5.55458885167764	4.64385618977472	6.90689059560852	7.20945336562895	7.18982455888002	7.57742882803575	7.11894107272351	7.05528243550119	5.08746284125034	6.08746284125034	5.16992500144231	6.79441586635011	7.34872815423108	5.90689059560852	7.82017896241519	8.67595703294175	7.08746284125034	4.58496250072116	4.4594316186373	6.98868468677217	5.04439411935845	6.85798099512757	7.83289001416474	7.20945336562895	5.39231742277876	5.90689059560852	5.88264304936184	5.49185309632967	2.32192809488736	4.90689059560852	8.4262647547021	6.37503943134692	6.28540221886225	8.01122725542325	9.12670447284319	4.90689059560852	6.4093909361377	7.68650052718322	8.02790599656988	6.32192809488736	7.10852445677817	7.21916852046216	5.39231742277876	6.70043971814109	1.58496250072116	6.3037807481771	4.90689059560852	5.08746284125034	4.16992500144231	6.6724253419715	5.08746284125034	4.85798099512757	7.33091687811462	8.0389189892923	8.29920801838728	4.90689059560852	6.76818432477693	7.81378119121704	4.52356195605701	5.64385618977472	5.28540221886225	5.90689059560852	8.3037807481771	3.8073549220576	5.97727992349992	7.90689059560852	7.15987133677839	7.92481250360578	6.10852445677817	6.35755200461808	7.52356195605701	6.24792751344359	6.02236781302845	6.65821148275179	4.85798099512757	5.39231742277876	5.28540221886225	3.90689059560852	4.58496250072116	3.90689059560852	9.23840473932508	6.5077946401987	6.06608919045777	6.32192809488736	5.24792751344359
hsa-let-7b-5p|MIMAT0000063	15.514744870091	14.6362847497091	15.9430871079015	15.2249060907198	16.0912287527363	14.7232876382334	15.4883108924226	15.403211792107	16.4812791353179	15.3715044120433	15.9007489050982	16.1088307029405	14.6563131260635	15.376634150801	14.3878154015786	15.9531733722621	16.9442545128994	17.2629665284175	14.9698361691692	14.177497401553	17.1898535082172	15.640979204048	16.1795009423639	15.8136309026559	17.0685893652542	15.8984360612525	15.0248799368843	15.7692179961265	15.3209415403346	15.9809205284595	14.0118387334552	15.5148065000214	16.0056026209046	16.1013396750875	17.2057359863386	16.5921065992175	15.3276929772403	16.753216749179	14.7954309195411	16.2328143766881	16.3228435775789	16.4784220468326	16.5778270956828	16.0091944128212	15.4759866908707	15.6654469577887	16.7084642428165	15.2432855737612	15.2275783414062	16.326499710055	14.5666486942287	16.3271140149572	15.6704072963637	15.7399651532564	16.3701935751754	17.0497103129081	15.1214930461978	15.5144366809416	16.5270034829587	16.2312211807112	15.7627453660598	16.6500981027893	15.5547686977281	16.7293419272662	17.3194251596384	15.0337671148464	16.5570896964211	14.5648639902269	15.5452058274256	14.912094063404	14.9060450187312	15.9480249524727	16.3391540909321	15.2600741865668	14.7793602779922	15.7960903213468	14.602698865018	15.1115432457497	14.6285594565999	15.1230301520337	16.1131927501014	14.8888859134265	16.4768411149649	14.8741168544445	14.1925239970754	16.0995738302638	14.9015740230021
hsa-let-7b-3p|MIMAT0004482	6.35755200461808	5.52356195605701	6.18982455888002	4.95419631038687	6.75488750216347	5.61470984411521	5.24792751344359	5.70043971814109	6.28540221886225	5.12928301694497	5.52356195605701	5.61470984411521	5.6724253419715	6.10852445677817	5.16992500144231	6.08746284125034	6.74146698640115	8.42206476617281	6.2667865406949	5.24792751344359	7.65821148275179	7.08746284125034	5.28540221886225	6.68650052718322	7.45121111183233	5.55458885167764	5.6724253419715	6.59991284218713	5.97727992349992	6.33985000288462	5.4262647547021	6.22881869049588	6.88264304936184	6.44294349584873	8.14974711950468	7.01122725542325	6	7.55458885167764	5.88264304936184	6.61470984411521	7.02236781302845	7.15987133677839	6.37503943134692	5.85798099512757	7.15987133677839	5.97727992349992	7.02236781302845	5.90689059560852	4.70043971814109	6.08746284125034	5	6.32192809488736	6.12928301694497	6.53915881110803	6.98868468677217	7.13955135239879	5.12928301694497	5.4594316186373	6.97727992349992	6.93073733756289	6.33985000288462	7.12928301694497	6.22881869049588	6.83289001416474	7.53138146051631	4.58496250072116	6.71424551766612	6.16992500144231	6.58496250072116	6.06608919045777	5.7279204545632	6.5077946401987	6.55458885167764	5.55458885167764	5	5.7279204545632	6.24792751344359	6.08746284125034	5.52356195605701	5.90689059560852	5.52356195605701	5.88264304936184	6.49185309632967	4.95419631038687	5.88264304936184	5.83289001416474	6.16992500144231
hsa-let-7c-5p|MIMAT0000064	11.5722265127937	10.7540523675289	14.0490827651521	13.1763290066176	12.3901689562002	10.0606959316876	13.2036538855296	13.3727290530382	13.7394641945859	11.4802853209364	16.7194824091106	12.9097056112156	12.5800229677539	12.8291280953685	13.4537850554962	14.6344140275723	14.8805401343337	14.7915699121269	11.1699250014423	11.2276159434142	14.1833252245246	14.0526529526751	14.1608956144507	14.3500413603378	15.40962296861	13.0334230015375	14.0910220895491	14.5741795800355	12.2401950539799	14.2244539533306	10.3880172853451	12.2479275134436	12.3043513216632	13.2321210840822	14.8365928421327	15.2686150981159	11.967226258836	14.6664459388148	14.0655844280615	14.3583764803282	10.5087851620645	14.107789200647	15.6475989564558	13.2874238116835	13.9335062496294	14.3785658100006	11.3831642606351	13.4625022725973	14.9283333075851	14.6254234716777	12.6821167649501	15.0160682989638	13.5891829670394	11.4584066132365	13.8266477883228	15.4094240859186	12.7594721212028	14.0029907718406	15.0517187571781	12.9693865213423	12.3668685861671	15.006676715309	12.4946056156712	15.2461467746359	14.4515331060399	11.8525295094042	12.443202577297	11.1636496760158	12.360298426618	11.8845521339872	12.3592004851336	15.0595979580648	13.2307710184398	15.5740021376835	14.6754057758028	12.0344550953272	11.7858611057596	13.248075809177	13.9046346216682	13.1070535696082	15.0811505212719	11.8637991037288	12.8612808035887	10.8834069863884	10.5323559252888	14.5448437203229	11.1324997296285
hsa-let-7d-5p|MIMAT0000065	10.1111356702347	9.08746284125034	9.7279204545632	9.4757334309664	10.5565060546719	9.2336196767597	8.82972273508606	9.24079133216196	10.1484765821783	10.0901124196643	10.103287808412	9.41574176829009	7.95419631038687	9.44501484586842	8.88264304936184	10.3286749273279	10.2656150464845	10.6926155016946	9.14465824283188	9.10590850857116	10.7372473430277	10.3880172853451	9.83447104998422	9.32418054661874	11.5338163894334	10.4512111118323	9.88264304936184	10.1472049249422	9.97154355395077	11.9751314569213	8.06608919045777	9.43254190038826	10.0874628412503	11.1774195379892	10.6917435191713	10.5196362528432	9.25738784269265	9.9614496943982	9.02513956227851	10.3376219019925	9.97441458980553	10.2819300269554	10.3641346550081	9.39446269461032	10.2888660741658	10.6786001390995	8.8073549220576	10.2573878426927	9.68650052718322	10.1279943209764	9.10852445677817	10.0566377151132	9.52552080909507	10.2934716488381	10.393390457444	10.7202442582876	9.2807707701306	9.82017896241519	11.0768155970508	9.48784003382305	9.99859042974533	10.0098286173681	9.4262647547021	10.8313072438021	9.91288933622996	9.52552080909507	9.99717948093762	8.73131903102506	9.8008998999203	9.20701432017753	8.73131903102506	10.2143191208008	10.0375469539622	8.76155123244448	9.13442632022093	9.64565843240871	8.59245703726808	9.41996017784789	9.62570884306447	9.35093918154643	9.56985560833095	9.05256805080415	11.5289424150649	10.270295326472	9.48381577726426	9.18239435340453	9.81217730551445
hsa-let-7d-3p|MIMAT0004484	11.4527560290325	10	10.8948177633079	9.84862294042934	11.1996723448364	8.97727992349992	9.97154355395077	10.652844973002	11.5660540381711	11.01471792986	11.4928546201747	10.5478585060584	7.83289001416474	10.7573900093666	10.2877123795494	11.554109152574	11.8936807383909	12.4062050054189	10.1873520732005	10.780539767472	12.2215871212648	11.8474489039824	10.4115109880121	10.9038818457362	12.3462366913902	10.9454438363779	10.515699838284	11.12153351734	10.6393407086522	12.2920339854995	9.11113567023471	9.57931593758001	11.9381093262192	11.2149261879424	11.6541884730595	11.2532565797812	10.9505558970475	11.0161118382205	10.286557761608	11.3258675805754	11	11.3592004851336	11.3072008091408	10.0927571409199	11.6261653199045	11.4998458870832	8.93663793900257	11.3437409184722	10.8587580999354	10.4998458870832	10.496853777388	11.3592004851336	10.4614794472862	11.1247675358225	11.7017396386744	11.6479080742818	10.2057932493972	10.3476213685681	12.0858043802781	11.0940776856719	10.9336906549522	10.298062567719	9.7515440590891	11.7452541419573	11.2842457498297	9.80574387215162	11.4367115421372	9.84077792359505	10.6465587101545	10.6969675262343	10.0182001788132	10.6384359139905	10.8841705191084	9.63843591399047	10.1472049249422	10.5255208090951	8.8703647195834	11.0292872269682	10.6608872703026	9.62021982550749	10.2479275134436	10.3106127816595	12.3912435894274	11.6834332928354	10.1674181458317	10.6375305515253	11.5367328898354
hsa-let-7e-5p|MIMAT0000066	13.1617617433047	12.1360298493856	13.5442400064417	12.2708792953288	13.3046365238073	12.4270508931509	13.0308395321414	12.9736973663054	14.3091210364882	12.4291451704787	13.6076770737659	13.9820131498921	12.0306671362469	12.7807447976778	12.6570951048884	14.609121010713	15.9031286768123	14.528637244246	13.0909394159844	12.9156926826154	14.0610336016811	14.0278196257469	13.8255551008708	13.6417130983539	14.7932984823513	14.0218475166806	13.9861086828747	13.1721149325331	13.7519624134609	15.3074498717294	13.1389117181427	12.7399915146842	14.7123657844479	13.8350634920051	15.1665161795373	14.0107029250374	13.4662039473718	13.8455880567894	12.4724370000513	13.9782635690861	14.8864586957037	15.2386286501935	14.1506199653058	12.9121408562957	13.2647358011301	13.5311377414447	12.6626683755175	13.9250907744217	14.501961549804	12.6635581042173	12.353698209048	13.6780498911654	13.9533780179201	13.8762291462434	14.2887219127826	15.3075210245722	12.8782425438693	13.4365814230805	14.8741168544445	13.6137894644726	13.2268637169824	13.0576533399639	12.331196877153	13.6383227747487	13.6834332928354	12.9957671508778	13.8071536391775	12.4936053070571	12.4504380323957	13.6359447987887	13.0382331347318	13.2062512720607	13.4219333193101	13.3459595964041	14.3068449308389	12.9342437295386	12.2282174422934	13.1761731491075	13.3341335907982	12.0801513096141	12.9545598469998	13.6196468499883	14.857543689654	13.9736973663054	11.4262647547021	13.0225412034548	12.9931152996792
hsa-let-7e-3p|MIMAT0004485	6.7279204545632	5	5.85798099512757	5.28540221886225	6.06608919045777	5.12928301694497	4.75488750216347	6.18982455888002	6.95419631038687	4	6.65821148275179	5.8073549220576	4.39231742277876	6.02236781302845	5.32192809488736	5.4594316186373	6.4093909361377	7.48381577726426	5.6724253419715	5.6724253419715	6.76818432477693	7.10852445677817	6.06608919045777	6.2667865406949	6.10852445677817	6.58496250072116	5.12928301694497	5.64385618977472	6.32192809488736	8.29001884693262	4.64385618977472	5.12928301694497	6.84549005094437	5.58496250072116	7.05528243550119	6.62935662007961	6.83289001416474	6.53915881110803	5.4262647547021	6.61470984411521	7.17990909001493	6.64385618977472	6.62935662007961	5.83289001416474	6.58496250072116	5.78135971352466	5	6.96578428466209	6.49185309632967	4.16992500144231	5.75488750216347	6.8703647195834	6.14974711950468	6.58496250072116	7.4757334309664	6.58496250072116	6.16992500144231	5.64385618977472	6.74146698640115	6.4594316186373	5.70043971814109	5.49185309632967	5	6.02236781302845	7.16992500144231	4.08746284125034	5.78135971352466	5.32192809488736	5.61470984411521	5.88264304936184	6	6.02236781302845	6.06608919045777	5.4262647547021	6.82017896241519	6.12928301694497	5.32192809488736	6.10852445677817	5.12928301694497	4	4.24792751344359	6.10852445677817	7.02236781302845	5.75488750216347	4.16992500144231	6.4594316186373	5.4594316186373
