miRseqMature	TCGA-3X-AAV9-01A-72R-A41D-13	TCGA-3X-AAVA-01A-11R-A41D-13	TCGA-3X-AAVB-01A-31R-A41D-13	TCGA-3X-AAVC-01A-21R-A41D-13	TCGA-3X-AAVE-01A-11R-A41D-13	TCGA-4G-AAZO-01A-12R-A41D-13	TCGA-4G-AAZT-01A-11R-A41D-13	TCGA-W5-AA2G-01A-11R-A41D-13	TCGA-W5-AA2H-01A-31R-A41D-13	TCGA-W5-AA2I-01A-32R-A41D-13	TCGA-W5-AA2I-11A-11R-A41D-13	TCGA-W5-AA2O-01A-11R-A41D-13	TCGA-W5-AA2Q-01A-11R-A41D-13	TCGA-W5-AA2Q-11A-11R-A41D-13	TCGA-W5-AA2R-01A-11R-A41D-13	TCGA-W5-AA2R-11A-11R-A41D-13	TCGA-W5-AA2T-01A-12R-A41D-13	TCGA-W5-AA2U-01A-11R-A41D-13	TCGA-W5-AA2U-11A-11R-A41D-13	TCGA-W5-AA2W-01A-11R-A41D-13	TCGA-W5-AA2X-01A-11R-A41D-13	TCGA-W5-AA2X-11A-11R-A41D-13	TCGA-W5-AA2Z-01A-11R-A41D-13	TCGA-W5-AA30-01A-31R-A41D-13	TCGA-W5-AA30-11A-11R-A41D-13	TCGA-W5-AA31-01A-11R-A41D-13	TCGA-W5-AA31-11A-11R-A41D-13	TCGA-W5-AA33-01A-11R-A41D-13	TCGA-W5-AA34-01A-11R-A41D-13	TCGA-W5-AA34-11A-11R-A41D-13	TCGA-W5-AA36-01A-11R-A41D-13	TCGA-W5-AA38-01A-11R-A41D-13	TCGA-W5-AA39-01A-11R-A41D-13	TCGA-W6-AA0S-01A-11R-A41D-13	TCGA-WD-A7RX-01A-12R-A41D-13	TCGA-YR-A95A-01A-12R-A41D-13	TCGA-ZD-A8I3-01A-11R-A41D-13	TCGA-ZH-A8Y1-01A-11R-A41D-13	TCGA-ZH-A8Y2-01A-11R-A41D-13	TCGA-ZH-A8Y4-01A-11R-A41D-13	TCGA-ZH-A8Y5-01A-11R-A41D-13	TCGA-ZH-A8Y6-01A-11R-A41D-13	TCGA-ZH-A8Y8-01A-51R-A41D-13	TCGA-ZU-A8S4-01A-11R-A41D-13	TCGA-ZU-A8S4-11A-11R-A41D-13
hsa-let-7a-5p|MIMAT0000062	17.3333388209348	17.011205412128	17.6818080298636	16.3694439904411	16.84716748249	16.8639805420913	17.4481405093331	15.6599122975112	16.4961672106983	17.9048051179027	15.2547333892467	14.8942967381221	17.2463509291571	17.4207579808194	16.6455880745445	16.8748373014212	17.9820577291132	16.4425385879194	16.2907028701971	17.8331248087036	16.4261664572691	16.597747058598	17.4227382434353	16.3524228146368	16.8241383423373	16.4618151417809	16.0779422625051	16.6457850679182	16.57933067091	15.7506023179592	16.5264992391366	16.8336807486547	15.7706896993374	16.6696601802386	16.7785648603973	17.3132284887022	16.354059940012	17.5789770294557	17.1135387030564	16.6291716035257	17.7081678327733	16.656257254211	17.943762486747	17.0553989548606	17.5632484175963
hsa-let-7a-3p|MIMAT0004481	7.6724253419715	7.40087943628218	8.21916852046216	6.98868468677217	7.21916852046216	7.82017896241519	8.09803208296053	6.33985000288462	6.83289001416474	7.76155123244448	6.20945336562895	4.75488750216347	8.20945336562895	7.39231742277876	7.48381577726426	6.82017896241519	7.72109918870719	6.84549005094437	7.01122725542325	7.19967234483636	6.55458885167764	8.06069593168755	7.4262647547021	8.01680828768655	7.4757334309664	6.61470984411521	6.4262647547021	7.19967234483636	6.4757334309664	6.93073733756289	7.4178525148859	6.82017896241519	6.84549005094437	6.93073733756289	7.88264304936184	6.70043971814109	7.39231742277876	8.1548181090521	7.60733031374961	6.8703647195834	7.98868468677217	6.85798099512757	7.3037807481771	7.05528243550119	7.49984588708321
hsa-let-7a-2-3p|MIMAT0010195	4.90689059560852	4.70043971814109	5.64385618977472	0	5.28540221886225	5	5.88264304936184	3.90689059560852	4	5.90689059560852	4.90689059560852	2.32192809488736	4.64385618977472	5.04439411935845	5.64385618977472	5.55458885167764	3.16992500144231	5.52356195605701	4.24792751344359	3.70043971814109	4.24792751344359	5.28540221886225	6.20945336562895	5.4594316186373	4.85798099512757	4.16992500144231	4.85798099512757	5.58496250072116	2	5.55458885167764	3.90689059560852	2.58496250072116	4.4594316186373	4.52356195605701	5.4594316186373	5.4594316186373	5.6724253419715	4.8073549220576	4.39231742277876	3.8073549220576	6.02236781302845	5.04439411935845	3.90689059560852	8.03342300153745	5.35755200461808
hsa-let-7b-5p|MIMAT0000063	15.9636411932413	15.2481128807286	17.0745387179709	15.7644310454681	16.6317880932038	16.8375786599584	17.0056684047725	14.9226773089854	15.6555866231514	17.1395713364005	14.4138923283726	14.0338531303504	17.6455599304381	16.3798859829383	15.4806324450251	15.8053912150414	17.3458123680429	15.1462106622181	15.4483421929072	17.3444432911067	16.422886037836	15.7256857798875	16.1191843123971	15.3400587110283	15.99810557172	15.243322768606	14.9972677056764	16.2695650328392	15.4090925538276	14.7997875285443	15.2865938574094	16.1965444974812	14.7072512710632	15.272921326867	15.5415201632917	16.8034248315055	16.1995189889988	17.7614733198222	17.329980236488	15.9016447254406	17.998441683815	14.3234770331504	16.6878403943582	16.5716637756811	16.3333126122741
hsa-let-7b-3p|MIMAT0004482	5.64385618977472	5.90689059560852	7.10852445677817	6.02236781302845	6.96578428466209	6.62935662007961	7.2667865406949	5.4262647547021	5.8073549220576	6.55458885167764	5.78135971352466	4.39231742277876	7.95419631038687	6.65821148275179	6.12928301694497	6.35755200461808	7.71424551766612	6.58496250072116	6.28540221886225	6.76818432477693	5.95419631038687	6.6724253419715	6.39231742277876	6.4594316186373	7.15987133677839	5.70043971814109	6.39231742277876	6.74146698640115	5.8073549220576	6.4262647547021	5.95419631038687	6	6.06608919045777	5.58496250072116	6.16992500144231	6.28540221886225	6.78135971352466	7.67948009950545	7.84549005094437	6.16992500144231	7.73470962022584	4.4594316186373	6.49185309632967	6.65821148275179	7.13955135239879
hsa-let-7c-5p|MIMAT0000064	13.7984718011016	11.859146495426	13.4242975323971	9.84392105128904	12.3409627642517	11.5598550415136	13.4893462407191	12.3094763538411	12.6270778405174	13.2920339854995	13.222945804499	10.4199601778479	12.4850745636986	15.1065220471487	12.6746336617673	14.9184905922923	11.9277779620823	12.399010832952	14.5370363531715	11.7838167593202	11.2615073092021	14.3433939416214	13.6244527865167	12.1379517347154	14.7900939050063	12.2094533656289	14.0371179251902	12.7204580383933	12.4637797853354	13.7771525554753	11.5459297690855	11.0539258815311	11.9061389961954	11.713386514937	13.0330788061306	13.5096513111781	12.0687782779854	13.8770923750274	12.7334390828994	12.1029598859101	12.0168082876866	12.0443941193585	13.3002095422324	12.5933911227917	15.3690179164511
hsa-let-7d-5p|MIMAT0000065	8.82336724004623	9.5352753766208	9.5077946401987	9.49185309632967	9.33091687811462	9.02513956227851	10.6384359139905	8.51963625284321	9.74483383749955	10.2395985292491	7.90086680798075	7.71424551766612	9.65999589242998	9.4898479604393	9.2807707701306	8.86418614465428	10.9943534368589	9.83130724380205	8.43045255166553	9.93957921431469	9.44086916761087	9.12412131182919	9.23601419190008	9.19721669311005	9.31061278165953	9.16490692667569	8.49585502688717	9.07681559705083	9.11894107272351	8.55458885167764	9.70043971814109	9.29462074889163	8.19967234483636	8.97727992349992	9.10328780841202	10.0168082876866	9.56033283421244	9.91139198784346	9.79928162152192	9.18982455888002	10.5783726913608	7.95419631038687	9.60547951806167	8.99717948093762	9.47370574961942
hsa-let-7d-3p|MIMAT0004484	9.73131903102506	10.9351650496037	10.7573900093666	11.0834793273318	10.8225708309502	9.81217730551445	11.1267044728432	10.1724275086455	9.89026427702111	10.4767462039395	9.45121111183233	8.65105169117893	11.0606959316876	10.5186531556734	10.4858293087019	10.9329528921947	11.5137275959524	10.9541963103869	10.1421070573025	10.4125698468052	10.4283601727043	10.3253054550897	10.2033480029798	10.5574637015978	11.1446582428319	10.7706638929168	10.3815429511846	9.54882190845875	10.1395513523988	10.5478585060584	10.7927902943011	10.1111356702347	10.0940776856719	10.4878400338231	10.1736771363034	10.2215871212648	10.6348110501717	10.5774288280357	11.7640422173066	10.007027266894	11.5013396180614	8.61102479730735	9.93369065495223	10.2609195336629	11.0098286173681
hsa-let-7e-5p|MIMAT0000066	13.1578205972136	12.7519624134609	12.8243621335695	12.6001452163587	11.4913520735634	12.2735042339622	12.7378810768578	12.1065629404449	11.0272148851598	13.5115055957925	9.8073549220576	9.62021982550749	11.8328900141647	11.7948219733312	11.4568677383803	10.8313072438021	13.9255544398736	12.8745971924016	10.616548843779	12.2404932238768	11.6497052654714	11.2550285698187	12.7507069862249	11.8197799318385	11.3140167039014	13.2217381492724	10.18982455888	10.8081597728684	12.8622499008515	10.1811522568656	12.4853261892405	12.5277213442845	9.97871045910636	11.9225844027137	12.2505945071923	13.1139049157861	12.3690520070014	12.963618617444	12.4873376152072	12.0714623625566	12.9812104882717	11.8788172846142	13.8344710499842	12.0784844174114	11.9545598469998
hsa-let-7e-3p|MIMAT0004485	6.10852445677817	5	5.7279204545632	5.58496250072116	4.85798099512757	5.58496250072116	6.6724253419715	5.24792751344359	4.64385618977472	5.61470984411521	3.58496250072116	1.58496250072116	5.58496250072116	5.35755200461808	4.24792751344359	5.12928301694497	6.04439411935845	5.4262647547021	4.95419631038687	4.16992500144231	4.32192809488736	4.52356195605701	5.93073733756289	5.16992500144231	5.64385618977472	5.4594316186373	4.39231742277876	4.95419631038687	5.4594316186373	4.24792751344359	4.8073549220576	3.90689059560852	4	4.85798099512757	5.35755200461808	5.16992500144231	6.16992500144231	6.53915881110803	5.90689059560852	4.90689059560852	6.58496250072116	3.58496250072116	5.64385618977472	4.58496250072116	5.12928301694497
