 132    75 hsa-miR-365a-3p|MIMAT0000710
 131    12 hsa-miR-29b-2-5p|MIMAT0004515
 130    21 hsa-miR-139-3p|MIMAT0004552
 129    78 hsa-miR-378a-3p|MIMAT0000732
 128    55 hsa-miR-142-3p|MIMAT0000434
 127    36 hsa-miR-181a-3p|MIMAT0000270
 126    23 hsa-miR-10a-5p|MIMAT0000253
 125     5 hsa-miR-30a-5p|MIMAT0000087
 124    57 hsa-miR-9-5p|MIMAT0000441
 123    58 hsa-miR-125a-5p|MIMAT0000443
 122    24 hsa-miR-10b-5p|MIMAT0000254
 121    49 hsa-miR-128-3p|MIMAT0000424
 120    22 hsa-miR-7-5p|MIMAT0000252
 119   101 hsa-miR-584-5p|MIMAT0003249
 118    20 hsa-miR-30d-5p|MIMAT0000245
 117    76 hsa-miR-376c-3p|MIMAT0000720
 116    51 hsa-miR-135a-5p|MIMAT0000428
 115    68 hsa-miR-29c-5p|MIMAT0004673
 114    31 hsa-miR-199b-5p|MIMAT0000263
 113    64 hsa-miR-193a-5p|MIMAT0004614
 112    69 hsa-miR-200a-5p|MIMAT0001620
 111     6 hsa-miR-30a-3p|MIMAT0000088
 110   127 hsa-miR-3065-3p|MIMAT0015378
 109   116 hsa-miR-874-3p|MIMAT0004911
 108    18 hsa-miR-148a-3p|MIMAT0000243
 107    40 hsa-miR-219a-5p|MIMAT0000276
 106   119 hsa-miR-885-5p|MIMAT0004947
 105    34 hsa-miR-205-5p|MIMAT0000266
 104    66 hsa-miR-200c-3p|MIMAT0000617
 103    38 hsa-miR-217|MIMAT0000274
 102    44 hsa-miR-200b-3p|MIMAT0000318
 101    29 hsa-miR-183-5p|MIMAT0000261
 100    65 hsa-miR-194-5p|MIMAT0000460
  99    53 hsa-miR-141-5p|MIMAT0004598
  98    45 hsa-let-7i-5p|MIMAT0000415
  97    96 hsa-miR-514a-3p|MIMAT0002883
  96    74 hsa-miR-363-3p|MIMAT0000707
  95    95 hsa-miR-509-3p|MIMAT0002881
  94    61 hsa-miR-146a-5p|MIMAT0000449
  93    42 hsa-miR-222-5p|MIMAT0004569
  92    17 hsa-miR-129-5p|MIMAT0000242
  91    26 hsa-miR-34a-5p|MIMAT0000255
  90    81 hsa-miR-335-5p|MIMAT0000765
  89    59 hsa-miR-126-5p|MIMAT0000444
  88    77 hsa-miR-375|MIMAT0000728
  87    35 hsa-miR-210-3p|MIMAT0000267
  86   122 hsa-miR-1287-5p|MIMAT0005878
  85    98 hsa-miR-92b-3p|MIMAT0003218
  84   112 hsa-miR-1468-5p|MIMAT0006789
  83    83 hsa-miR-196b-5p|MIMAT0001080
  82    87 hsa-miR-452-5p|MIMAT0001635
  81   118 hsa-miR-708-3p|MIMAT0004927
  80     2 hsa-let-7d-3p|MIMAT0004484
  79    72 hsa-miR-301a-3p|MIMAT0000688
  78    25 hsa-miR-10b-3p|MIMAT0004556
  77   129 hsa-miR-3607-3p|MIMAT0017985
  76     9 hsa-miR-92a-1-5p|MIMAT0004507
  75    91 hsa-miR-146b-3p|MIMAT0004766
  74   128 hsa-miR-3200-3p|MIMAT0015085
  73   132 hsa-miR-676-3p|MIMAT0018204
  72    32 hsa-miR-203a-3p|MIMAT0000264
  71    46 hsa-miR-15b-5p|MIMAT0000417
  70   115 hsa-miR-891a-5p|MIMAT0004902
  69    50 hsa-miR-133a-3p|MIMAT0000427
  68    97 hsa-miR-455-5p|MIMAT0003150
  67   123 hsa-miR-1247-5p|MIMAT0005899
  66   108 hsa-miR-625-3p|MIMAT0004808
  65    62 hsa-miR-149-5p|MIMAT0000450
  64   113 hsa-miR-766-3p|MIMAT0003888
  63    39 hsa-miR-218-5p|MIMAT0000275
  62    88 hsa-miR-483-5p|MIMAT0004761
  61    54 hsa-miR-141-3p|MIMAT0000432
  60    92 hsa-miR-493-5p|MIMAT0002813
  59    73 hsa-miR-362-5p|MIMAT0000705
  58    10 hsa-miR-95-3p|MIMAT0000094
  57    56 hsa-miR-153-3p|MIMAT0000439
  56     3 hsa-miR-18a-3p|MIMAT0002891
  55    70 hsa-miR-200a-3p|MIMAT0000682
  54    94 hsa-miR-508-3p|MIMAT0002880
  53   106 hsa-miR-616-5p|MIMAT0003284
  52    79 hsa-miR-328-3p|MIMAT0000752
  51   110 hsa-miR-671-5p|MIMAT0003880
  50   102 hsa-miR-548b-3p|MIMAT0003254
  49    30 hsa-miR-187-3p|MIMAT0000262
  48    14 hsa-miR-192-5p|MIMAT0000222
  47   103 hsa-miR-592|MIMAT0003260
  46    16 hsa-miR-196a-5p|MIMAT0000226
  45    63 hsa-miR-184|MIMAT0000454
  44    90 hsa-miR-511-5p|MIMAT0002808
  43    19 hsa-miR-30c-2-3p|MIMAT0004550
  42    41 hsa-miR-221-5p|MIMAT0004568
  41    80 hsa-miR-135b-5p|MIMAT0000758
  40   109 hsa-miR-651-5p|MIMAT0003321
  39    86 hsa-miR-429|MIMAT0001536
  38    48 hsa-miR-30b-3p|MIMAT0004589
  37    27 hsa-miR-181a-2-3p|MIMAT0004558
  36   114 hsa-miR-675-3p|MIMAT0006790
  35    84 hsa-miR-424-3p|MIMAT0004749
  34    37 hsa-miR-215-5p|MIMAT0000272
  33    15 hsa-miR-192-3p|MIMAT0004543
  32    85 hsa-miR-20b-3p|MIMAT0004752
  31   120 hsa-miR-887-3p|MIMAT0004951
  30   130 hsa-miR-3614-5p|MIMAT0017992
  29     1 hsa-let-7c-5p|MIMAT0000064
  28   125 hsa-miR-1270|MIMAT0005924
  27   104 hsa-miR-598-3p|MIMAT0003266
  26    67 hsa-miR-194-3p|MIMAT0004671
  25   121 hsa-miR-935|MIMAT0004978
  24    43 hsa-miR-224-5p|MIMAT0000281
  23   100 hsa-miR-577|MIMAT0003242
  22     4 hsa-miR-27a-5p|MIMAT0004501
  21    28 hsa-miR-181c-3p|MIMAT0004559
  20   126 hsa-miR-3170|MIMAT0015045
  19   111 hsa-miR-1224-5p|MIMAT0005458
  18    47 hsa-miR-27b-3p|MIMAT0000419
  17    71 hsa-miR-34c-3p|MIMAT0004677
  16   124 hsa-miR-1269a|MIMAT0005923
  15   117 hsa-miR-708-5p|MIMAT0004926
  14   107 hsa-miR-618|MIMAT0003287
