Gene	TCGA-DX-AB2L-01A-32R-A41D-13
hsa-miR-629-3p|MIMAT0003298	4
hsa-miR-630|MIMAT0003299	NA
hsa-miR-631|MIMAT0003300	NA
hsa-miR-33b-5p|MIMAT0003301	NA
hsa-miR-33b-3p|MIMAT0004811	2
hsa-miR-632|MIMAT0003302	NA
hsa-miR-633|MIMAT0003303	NA
hsa-miR-634|MIMAT0003304	NA
hsa-miR-635|MIMAT0003305	NA
hsa-miR-636|MIMAT0003306	2
hsa-miR-637|MIMAT0003307	NA
hsa-miR-638|MIMAT0003308	NA
hsa-miR-639|MIMAT0003309	1
hsa-miR-640|MIMAT0003310	NA
hsa-miR-641|MIMAT0003311	NA
hsa-miR-642a-5p|MIMAT0003312	NA
hsa-miR-643|MIMAT0003313	3
hsa-miR-644a|MIMAT0003314	NA
hsa-miR-645|MIMAT0003315	NA
hsa-miR-646|MIMAT0003316	NA
hsa-miR-647|MIMAT0003317	NA
hsa-miR-648|MIMAT0003318	NA
hsa-miR-649|MIMAT0003319	NA
hsa-miR-650|MIMAT0003320	NA
hsa-miR-651-5p|MIMAT0003321	7
hsa-miR-652-3p|MIMAT0003322	29
hsa-miR-548d-5p|MIMAT0004812	NA
hsa-miR-548d-3p|MIMAT0003323	2
hsa-miR-661|MIMAT0003324	NA
hsa-miR-662|MIMAT0003325	NA
hsa-miR-663a|MIMAT0003326	NA
hsa-miR-449b-5p|MIMAT0003327	NA
hsa-miR-449b-3p|MIMAT0009203	1
hsa-miR-653-5p|MIMAT0003328	35
hsa-miR-411-5p|MIMAT0003329	327
hsa-miR-411-3p|MIMAT0004813	63
hsa-miR-654-5p|MIMAT0003330	64
hsa-miR-654-3p|MIMAT0004814	1027
hsa-miR-655-3p|MIMAT0003331	75
hsa-miR-656-3p|MIMAT0003332	43
hsa-miR-549a|MIMAT0003333	4
hsa-miR-657|MIMAT0003335	NA
hsa-miR-658|MIMAT0003336	NA
hsa-miR-659-3p|MIMAT0003337	NA
hsa-miR-660-5p|MIMAT0003338	539
hsa-miR-421|MIMAT0003339	4
hsa-miR-542-5p|MIMAT0003340	48
hsa-miR-542-3p|MIMAT0003389	5056
hsa-miR-758-3p|MIMAT0003879	839
hsa-miR-1264|MIMAT0005791	NA
hsa-miR-671-5p|MIMAT0003880	21
hsa-miR-671-3p|MIMAT0004819	21
hsa-miR-668-3p|MIMAT0003881	3
hsa-miR-767-5p|MIMAT0003882	1
hsa-miR-767-3p|MIMAT0003883	NA
hsa-miR-1224-5p|MIMAT0005458	3
hsa-miR-1224-3p|MIMAT0005459	NA
hsa-miR-320b|MIMAT0005792	11
hsa-miR-320c|MIMAT0005793	4
hsa-miR-1296-5p|MIMAT0005794	22
hsa-miR-1468-5p|MIMAT0006789	10
hsa-miR-1323|MIMAT0005795	NA
hsa-miR-1271-5p|MIMAT0005796	19
hsa-miR-1301-3p|MIMAT0005797	25
hsa-miR-454-5p|MIMAT0003884	3
hsa-miR-454-3p|MIMAT0003885	16
hsa-miR-1185-5p|MIMAT0005798	7
hsa-miR-449c-5p|MIMAT0010251	NA
hsa-miR-449c-3p|MIMAT0013771	NA
hsa-miR-1283|MIMAT0005799	NA
hsa-miR-769-5p|MIMAT0003886	71
hsa-miR-769-3p|MIMAT0003887	3
hsa-miR-766-3p|MIMAT0003888	26
hsa-miR-762|MIMAT0010313	NA
hsa-miR-802|MIMAT0004185	NA
hsa-miR-670-5p|MIMAT0010357	NA
hsa-miR-1298-5p|MIMAT0005800	NA
hsa-miR-2113|MIMAT0009206	NA
hsa-miR-761|MIMAT0010364	NA
hsa-miR-764|MIMAT0010367	NA
hsa-miR-759|MIMAT0010497	NA
hsa-miR-765|MIMAT0003945	NA
hsa-miR-770-5p|MIMAT0003948	2
hsa-miR-675-5p|MIMAT0004284	NA
hsa-miR-675-3p|MIMAT0006790	584
hsa-miR-298|MIMAT0004901	NA
hsa-miR-891a-5p|MIMAT0004902	1
hsa-miR-300|MIMAT0004903	NA
hsa-miR-892a|MIMAT0004907	NA
hsa-miR-450b-5p|MIMAT0004909	390
hsa-miR-450b-3p|MIMAT0004910	1
hsa-miR-874-3p|MIMAT0004911	206
hsa-miR-890|MIMAT0004912	NA
hsa-miR-891b|MIMAT0004913	NA
hsa-miR-888-5p|MIMAT0004916	NA
hsa-miR-888-3p|MIMAT0004917	NA
hsa-miR-892b|MIMAT0004918	NA
hsa-miR-541-5p|MIMAT0004919	1
hsa-miR-541-3p|MIMAT0004920	18
hsa-miR-889-3p|MIMAT0004921	851
hsa-miR-875-5p|MIMAT0004922	NA
hsa-miR-875-3p|MIMAT0004923	NA
hsa-miR-876-5p|MIMAT0004924	8
hsa-miR-876-3p|MIMAT0004925	1
hsa-miR-708-5p|MIMAT0004926	157
hsa-miR-708-3p|MIMAT0004927	452
hsa-miR-147b|MIMAT0004928	NA
hsa-miR-190b|MIMAT0004929	2
hsa-miR-744-5p|MIMAT0004945	65
hsa-miR-744-3p|MIMAT0004946	22
hsa-miR-885-5p|MIMAT0004947	NA
hsa-miR-885-3p|MIMAT0004948	NA
hsa-miR-877-5p|MIMAT0004949	NA
hsa-miR-877-3p|MIMAT0004950	1
hsa-miR-887-3p|MIMAT0004951	38
hsa-miR-665|MIMAT0004952	5
hsa-miR-873-5p|MIMAT0004953	9
hsa-miR-543|MIMAT0004954	19
hsa-miR-374b-5p|MIMAT0004955	195
hsa-miR-374b-3p|MIMAT0004956	7
hsa-miR-760|MIMAT0004957	2
hsa-miR-301b-3p|MIMAT0004958	NA
hsa-miR-216b-5p|MIMAT0004959	NA
hsa-miR-208b-3p|MIMAT0004960	NA
hsa-miR-920|MIMAT0004970	NA
hsa-miR-921|MIMAT0004971	NA
hsa-miR-922|MIMAT0004972	NA
hsa-miR-924|MIMAT0004974	NA
hsa-miR-509-3-5p|MIMAT0004975	NA
hsa-miR-933|MIMAT0004976	NA
hsa-miR-934|MIMAT0004977	NA
hsa-miR-935|MIMAT0004978	9
hsa-miR-936|MIMAT0004979	NA
hsa-miR-937-3p|MIMAT0004980	3
hsa-miR-938|MIMAT0004981	NA
hsa-miR-939-5p|MIMAT0004982	4
hsa-miR-940|MIMAT0004983	NA
hsa-miR-941|MIMAT0004984	NA
hsa-miR-942-5p|MIMAT0004985	9
hsa-miR-943|MIMAT0004986	NA
hsa-miR-944|MIMAT0004987	NA
hsa-miR-297|MIMAT0004450	NA
hsa-miR-1178-3p|MIMAT0005823	NA
hsa-miR-1179|MIMAT0005824	NA
hsa-miR-1180-3p|MIMAT0005825	29
hsa-miR-1181|MIMAT0005826	NA
hsa-miR-1182|MIMAT0005827	NA
hsa-miR-1183|MIMAT0005828	NA
hsa-miR-1184|MIMAT0005829	NA
hsa-miR-1225-5p|MIMAT0005572	NA
hsa-miR-1225-3p|MIMAT0005573	NA
hsa-miR-1226-5p|MIMAT0005576	NA
hsa-miR-1226-3p|MIMAT0005577	2
hsa-miR-1227-3p|MIMAT0005580	NA
hsa-miR-1228-5p|MIMAT0005582	4
hsa-miR-1228-3p|MIMAT0005583	5
hsa-miR-1229-3p|MIMAT0005584	NA
hsa-miR-1231|MIMAT0005586	NA
hsa-miR-1233-3p|MIMAT0005588	NA
hsa-miR-1234-3p|MIMAT0005589	NA
hsa-miR-1236-3p|MIMAT0005591	NA
hsa-miR-1237-3p|MIMAT0005592	NA
hsa-miR-1238-3p|MIMAT0005593	NA
hsa-miR-1200|MIMAT0005863	NA
hsa-miR-1202|MIMAT0005865	NA
hsa-miR-1203|MIMAT0005866	NA
hsa-miR-663b|MIMAT0005867	NA
hsa-miR-1204|MIMAT0005868	NA
hsa-miR-1205|MIMAT0005869	NA
hsa-miR-1206|MIMAT0005870	NA
hsa-miR-1207-5p|MIMAT0005871	NA
hsa-miR-1207-3p|MIMAT0005872	NA
hsa-miR-1208|MIMAT0005873	NA
hsa-miR-548e-3p|MIMAT0005874	2
hsa-miR-548j-5p|MIMAT0005875	1
hsa-miR-1285-3p|MIMAT0005876	NA
hsa-miR-1286|MIMAT0005877	NA
hsa-miR-1287-5p|MIMAT0005878	48
hsa-miR-1289|MIMAT0005879	NA
hsa-miR-1290|MIMAT0005880	NA
hsa-miR-1291|MIMAT0005881	1
hsa-miR-548k|MIMAT0005882	NA
hsa-miR-1293|MIMAT0005883	NA
hsa-miR-1294|MIMAT0005884	NA
hsa-miR-1295a|MIMAT0005885	3
hsa-miR-1297|MIMAT0005886	NA
hsa-miR-1299|MIMAT0005887	NA
hsa-miR-548l|MIMAT0005889	NA
hsa-miR-1302|MIMAT0005890	NA
hsa-miR-1303|MIMAT0005891	NA
hsa-miR-1304-5p|MIMAT0005892	3
hsa-miR-1305|MIMAT0005893	6
hsa-miR-1243|MIMAT0005894	NA
hsa-miR-548f-3p|MIMAT0005895	NA
hsa-miR-1244|MIMAT0005896	NA
hsa-miR-1245a|MIMAT0005897	NA
hsa-miR-1246|MIMAT0005898	NA
hsa-miR-1247-5p|MIMAT0005899	5
hsa-miR-1248|MIMAT0005900	1
hsa-miR-1249-3p|MIMAT0005901	3
hsa-miR-1250-5p|MIMAT0005902	NA
hsa-miR-1251-5p|MIMAT0005903	NA
hsa-miR-1253|MIMAT0005904	NA
hsa-miR-1254|MIMAT0005905	4
hsa-miR-1255a|MIMAT0005906	1
hsa-miR-1256|MIMAT0005907	NA
hsa-miR-1257|MIMAT0005908	NA
hsa-miR-1258|MIMAT0005909	1
hsa-miR-1260a|MIMAT0005911	NA
hsa-miR-548g-3p|MIMAT0005912	NA
hsa-miR-1261|MIMAT0005913	NA
hsa-miR-1262|MIMAT0005914	7
hsa-miR-1263|MIMAT0005915	NA
hsa-miR-548n|MIMAT0005916	NA
hsa-miR-548m|MIMAT0005917	NA
hsa-miR-1265|MIMAT0005918	NA
hsa-miR-548o-3p|MIMAT0005919	1
hsa-miR-1266-5p|MIMAT0005920	5
hsa-miR-1267|MIMAT0005921	NA
hsa-miR-1268a|MIMAT0005922	NA
hsa-miR-1269a|MIMAT0005923	2
hsa-miR-1270|MIMAT0005924	7
hsa-miR-1272|MIMAT0005925	NA
hsa-miR-1273a|MIMAT0005926	NA
hsa-miR-548h-5p|MIMAT0005928	NA
hsa-miR-1275|MIMAT0005929	NA
hsa-miR-1276|MIMAT0005930	NA
hsa-miR-302e|MIMAT0005931	NA
hsa-miR-302f|MIMAT0005932	NA
hsa-miR-1277-3p|MIMAT0005933	1
hsa-miR-548p|MIMAT0005934	NA
hsa-miR-548i|MIMAT0005935	NA
hsa-miR-1278|MIMAT0005936	NA
hsa-miR-1279|MIMAT0005937	NA
hsa-miR-1281|MIMAT0005939	NA
hsa-miR-1282|MIMAT0005940	NA
hsa-miR-1284|MIMAT0005941	1
hsa-miR-1288-3p|MIMAT0005942	NA
hsa-miR-1292-5p|MIMAT0005943	3
hsa-miR-1252-5p|MIMAT0005944	NA
hsa-miR-1255b-5p|MIMAT0005945	NA
hsa-miR-664a-5p|MIMAT0005948	14
hsa-miR-664a-3p|MIMAT0005949	314
hsa-miR-1306-3p|MIMAT0005950	2
hsa-miR-1307-3p|MIMAT0005951	2699
hsa-miR-513b-5p|MIMAT0005788	NA
hsa-miR-513c-5p|MIMAT0005789	NA
hsa-miR-1321|MIMAT0005952	NA
hsa-miR-1322|MIMAT0005953	NA
hsa-miR-1197|MIMAT0005955	1
hsa-miR-1324|MIMAT0005956	NA
hsa-miR-1469|MIMAT0007347	NA
hsa-miR-1470|MIMAT0007348	NA
hsa-miR-1471|MIMAT0007349	NA
hsa-miR-1537-3p|MIMAT0007399	NA
hsa-miR-1538|MIMAT0007400	NA
hsa-miR-1539|MIMAT0007401	NA
hsa-miR-103b|MIMAT0007402	NA
hsa-miR-320d|MIMAT0006764	2
hsa-miR-1825|MIMAT0006765	NA
hsa-miR-1827|MIMAT0006767	NA
hsa-miR-1908-5p|MIMAT0007881	NA
hsa-miR-1909-5p|MIMAT0007882	NA
hsa-miR-1909-3p|MIMAT0007883	NA
hsa-miR-1910-5p|MIMAT0007884	NA
hsa-miR-1911-5p|MIMAT0007885	NA
hsa-miR-1911-3p|MIMAT0007886	NA
hsa-miR-1912|MIMAT0007887	NA
hsa-miR-1913|MIMAT0007888	NA
hsa-miR-1914-5p|MIMAT0007889	NA
hsa-miR-1914-3p|MIMAT0007890	NA
hsa-miR-1915-5p|MIMAT0007891	NA
hsa-miR-1915-3p|MIMAT0007892	NA
hsa-miR-1972|MIMAT0009447	NA
hsa-miR-1973|MIMAT0009448	NA
hsa-miR-1976|MIMAT0009451	5
hsa-miR-2052|MIMAT0009977	NA
hsa-miR-2053|MIMAT0009978	NA
hsa-miR-2054|MIMAT0009979	NA
hsa-miR-2110|MIMAT0010133	5
hsa-miR-2114-5p|MIMAT0011156	NA
hsa-miR-2114-3p|MIMAT0011157	NA
hsa-miR-2115-5p|MIMAT0011158	NA
hsa-miR-2115-3p|MIMAT0011159	1
hsa-miR-2116-5p|MIMAT0011160	NA
hsa-miR-2116-3p|MIMAT0011161	4
hsa-miR-2117|MIMAT0011162	NA
hsa-miR-548q|MIMAT0011163	1
hsa-miR-2276-3p|MIMAT0011775	NA
hsa-miR-2277-5p|MIMAT0017352	1
hsa-miR-2277-3p|MIMAT0011777	NA
hsa-miR-2278|MIMAT0011778	NA
hsa-miR-711|MIMAT0012734	NA
hsa-miR-718|MIMAT0012735	NA
hsa-miR-2861|MIMAT0013802	NA
hsa-miR-2909|MIMAT0013863	NA
hsa-miR-3115|MIMAT0014977	NA
hsa-miR-3116|MIMAT0014978	NA
hsa-miR-3117-3p|MIMAT0014979	NA
hsa-miR-3118|MIMAT0014980	NA
hsa-miR-3119|MIMAT0014981	NA
hsa-miR-3120-3p|MIMAT0014982	NA
hsa-miR-3121-3p|MIMAT0014983	NA
hsa-miR-3122|MIMAT0014984	NA
hsa-miR-3123|MIMAT0014985	NA
hsa-miR-3124-5p|MIMAT0014986	NA
hsa-miR-548s|MIMAT0014987	1
hsa-miR-3125|MIMAT0014988	1
hsa-miR-3126-5p|MIMAT0014989	NA
hsa-miR-3126-3p|MIMAT0015377	NA
hsa-miR-3127-5p|MIMAT0014990	4
hsa-miR-3128|MIMAT0014991	NA
hsa-miR-3129-5p|MIMAT0014992	2
hsa-miR-3130-5p|MIMAT0014995	1
hsa-miR-3130-3p|MIMAT0014994	NA
hsa-miR-3131|MIMAT0014996	NA
hsa-miR-3132|MIMAT0014997	NA
hsa-miR-3133|MIMAT0014998	NA
hsa-miR-378b|MIMAT0014999	NA
hsa-miR-3134|MIMAT0015000	NA
hsa-miR-3135a|MIMAT0015001	NA
hsa-miR-466|MIMAT0015002	NA
hsa-miR-3136-5p|MIMAT0015003	2
hsa-miR-544b|MIMAT0015004	NA
hsa-miR-3137|MIMAT0015005	NA
hsa-miR-3138|MIMAT0015006	NA
hsa-miR-3139|MIMAT0015007	NA
hsa-miR-3140-3p|MIMAT0015008	NA
hsa-miR-548t-5p|MIMAT0015009	1
hsa-miR-3141|MIMAT0015010	NA
hsa-miR-3142|MIMAT0015011	NA
hsa-miR-3143|MIMAT0015012	NA
hsa-miR-548u|MIMAT0015013	NA
hsa-miR-3144-5p|MIMAT0015014	NA
hsa-miR-3144-3p|MIMAT0015015	NA
hsa-miR-3145-3p|MIMAT0015016	NA
hsa-miR-1273c|MIMAT0015017	NA
hsa-miR-3146|MIMAT0015018	NA
hsa-miR-3147|MIMAT0015019	NA
hsa-miR-548v|MIMAT0015020	1
hsa-miR-3148|MIMAT0015021	NA
hsa-miR-3149|MIMAT0015022	NA
hsa-miR-3150a-3p|MIMAT0015023	NA
hsa-miR-3151-5p|MIMAT0015024	NA
hsa-miR-3152-3p|MIMAT0015025	1
hsa-miR-3153|MIMAT0015026	NA
hsa-miR-3074-3p|MIMAT0015027	NA
hsa-miR-3154|MIMAT0015028	2
hsa-miR-3155a|MIMAT0015029	NA
hsa-miR-3156-5p|MIMAT0015030	NA
hsa-miR-3157-5p|MIMAT0015031	NA
hsa-miR-3158-3p|MIMAT0015032	NA
hsa-miR-3159|MIMAT0015033	NA
hsa-miR-3160-3p|MIMAT0015034	NA
hsa-miR-3161|MIMAT0015035	NA
hsa-miR-3162-5p|MIMAT0015036	NA
hsa-miR-3163|MIMAT0015037	NA
hsa-miR-3164|MIMAT0015038	NA
hsa-miR-3165|MIMAT0015039	NA
hsa-miR-3166|MIMAT0015040	NA
hsa-miR-1260b|MIMAT0015041	NA
hsa-miR-3167|MIMAT0015042	NA
hsa-miR-3168|MIMAT0015043	NA
hsa-miR-3169|MIMAT0015044	NA
hsa-miR-3170|MIMAT0015045	NA
hsa-miR-3171|MIMAT0015046	NA
hsa-miR-3173-3p|MIMAT0015048	NA
hsa-miR-1193|MIMAT0015049	NA
hsa-miR-323b-5p|MIMAT0001630	NA
hsa-miR-323b-3p|MIMAT0015050	78
hsa-miR-3174|MIMAT0015051	NA
hsa-miR-3175|MIMAT0015052	NA
hsa-miR-3176|MIMAT0015053	NA
hsa-miR-3177-3p|MIMAT0015054	NA
hsa-miR-3178|MIMAT0015055	NA
hsa-miR-3179|MIMAT0015056	NA
hsa-miR-3180-5p|MIMAT0015057	NA
hsa-miR-3180-3p|MIMAT0015058	NA
hsa-miR-548w|MIMAT0015060	NA
hsa-miR-3181|MIMAT0015061	NA
hsa-miR-3182|MIMAT0015062	NA
hsa-miR-3183|MIMAT0015063	NA
hsa-miR-3184-5p|MIMAT0015064	NA
hsa-miR-3185|MIMAT0015065	NA
hsa-miR-3065-5p|MIMAT0015066	NA
hsa-miR-3065-3p|MIMAT0015378	12
hsa-miR-3186-5p|MIMAT0015067	NA
hsa-miR-3186-3p|MIMAT0015068	NA
hsa-miR-3187-3p|MIMAT0015069	NA
hsa-miR-3188|MIMAT0015070	NA
hsa-miR-3189-3p|MIMAT0015071	NA
hsa-miR-320e|MIMAT0015072	1
hsa-miR-3190-5p|MIMAT0015073	NA
hsa-miR-3191-3p|MIMAT0015075	NA
hsa-miR-3192-5p|MIMAT0015076	NA
hsa-miR-3193|MIMAT0015077	NA
hsa-miR-3194-5p|MIMAT0015078	1
hsa-miR-3195|MIMAT0015079	NA
hsa-miR-3196|MIMAT0015080	NA
hsa-miR-548x-3p|MIMAT0015081	NA
hsa-miR-3197|MIMAT0015082	NA
hsa-miR-3198|MIMAT0015083	NA
hsa-miR-3199|MIMAT0015084	2
hsa-miR-3200-5p|MIMAT0017392	NA
hsa-miR-3200-3p|MIMAT0015085	2
hsa-miR-3201|MIMAT0015086	NA
hsa-miR-514b-5p|MIMAT0015087	NA
hsa-miR-514b-3p|MIMAT0015088	NA
hsa-miR-3202|MIMAT0015089	NA
hsa-miR-1273d|MIMAT0015090	NA
hsa-miR-4295|MIMAT0016844	NA
hsa-miR-4296|MIMAT0016845	NA
hsa-miR-4297|MIMAT0016846	NA
hsa-miR-378c|MIMAT0016847	29
hsa-miR-4293|MIMAT0016848	NA
hsa-miR-4294|MIMAT0016849	NA
hsa-miR-4301|MIMAT0016850	NA
hsa-miR-4299|MIMAT0016851	NA
hsa-miR-4298|MIMAT0016852	NA
hsa-miR-4300|MIMAT0016853	NA
hsa-miR-4304|MIMAT0016854	NA
hsa-miR-4302|MIMAT0016855	NA
hsa-miR-4303|MIMAT0016856	NA
hsa-miR-4305|MIMAT0016857	NA
hsa-miR-4306|MIMAT0016858	NA
hsa-miR-4309|MIMAT0016859	NA
hsa-miR-4307|MIMAT0016860	NA
hsa-miR-4308|MIMAT0016861	NA
hsa-miR-4310|MIMAT0016862	NA
hsa-miR-4311|MIMAT0016863	NA
hsa-miR-4312|MIMAT0016864	NA
hsa-miR-4313|MIMAT0016865	NA
hsa-miR-4315|MIMAT0016866	NA
hsa-miR-4316|MIMAT0016867	NA
hsa-miR-4314|MIMAT0016868	NA
hsa-miR-4318|MIMAT0016869	NA
hsa-miR-4319|MIMAT0016870	NA
hsa-miR-4320|MIMAT0016871	NA
hsa-miR-4317|MIMAT0016872	NA
hsa-miR-4322|MIMAT0016873	NA
hsa-miR-4321|MIMAT0016874	NA
hsa-miR-4323|MIMAT0016875	NA
hsa-miR-4324|MIMAT0016876	NA
hsa-miR-4256|MIMAT0016877	NA
hsa-miR-4257|MIMAT0016878	NA
hsa-miR-4258|MIMAT0016879	NA
hsa-miR-4259|MIMAT0016880	NA
hsa-miR-4260|MIMAT0016881	NA
hsa-miR-4253|MIMAT0016882	NA
hsa-miR-4251|MIMAT0016883	NA
hsa-miR-4254|MIMAT0016884	NA
hsa-miR-4255|MIMAT0016885	NA
hsa-miR-4252|MIMAT0016886	NA
hsa-miR-4325|MIMAT0016887	NA
hsa-miR-4326|MIMAT0016888	67
hsa-miR-4327|MIMAT0016889	NA
hsa-miR-4261|MIMAT0016890	NA
hsa-miR-4265|MIMAT0016891	NA
hsa-miR-4266|MIMAT0016892	NA
hsa-miR-4267|MIMAT0016893	NA
hsa-miR-4262|MIMAT0016894	NA
hsa-miR-2355-5p|MIMAT0016895	201
hsa-miR-2355-3p|MIMAT0017950	16
hsa-miR-4268|MIMAT0016896	NA
hsa-miR-4269|MIMAT0016897	NA
hsa-miR-4263|MIMAT0016898	NA
hsa-miR-4264|MIMAT0016899	NA
hsa-miR-4270|MIMAT0016900	NA
hsa-miR-4271|MIMAT0016901	NA
hsa-miR-4272|MIMAT0016902	NA
hsa-miR-4273|MIMAT0016903	NA
hsa-miR-4276|MIMAT0016904	NA
hsa-miR-4275|MIMAT0016905	NA
hsa-miR-4274|MIMAT0016906	NA
hsa-miR-4281|MIMAT0016907	NA
hsa-miR-4277|MIMAT0016908	NA
hsa-miR-4279|MIMAT0016909	NA
hsa-miR-4278|MIMAT0016910	NA
hsa-miR-4280|MIMAT0016911	NA
hsa-miR-4282|MIMAT0016912	NA
hsa-miR-4285|MIMAT0016913	NA
hsa-miR-4283|MIMAT0016914	NA
hsa-miR-4284|MIMAT0016915	NA
hsa-miR-4286|MIMAT0016916	1
hsa-miR-4287|MIMAT0016917	NA
hsa-miR-4288|MIMAT0016918	NA
hsa-miR-4292|MIMAT0016919	NA
hsa-miR-4289|MIMAT0016920	NA
hsa-miR-4290|MIMAT0016921	NA
hsa-miR-4291|MIMAT0016922	NA
hsa-miR-4329|MIMAT0016923	NA
hsa-miR-4330|MIMAT0016924	NA
hsa-miR-500b-5p|MIMAT0016925	39
hsa-miR-4328|MIMAT0016926	NA
hsa-miR-3605-5p|MIMAT0017981	NA
hsa-miR-3605-3p|MIMAT0017982	3
hsa-miR-3606-5p|MIMAT0017983	1
hsa-miR-3607-5p|MIMAT0017984	NA
hsa-miR-3607-3p|MIMAT0017985	25
hsa-miR-3609|MIMAT0017986	NA
hsa-miR-3610|MIMAT0017987	2
hsa-miR-3611|MIMAT0017988	NA
hsa-miR-3612|MIMAT0017989	NA
hsa-miR-3613-5p|MIMAT0017990	96
hsa-miR-3613-3p|MIMAT0017991	21
hsa-miR-3614-5p|MIMAT0017992	1
hsa-miR-3614-3p|MIMAT0017993	NA
hsa-miR-3615|MIMAT0017994	16
hsa-miR-3616-5p|MIMAT0017995	NA
hsa-miR-3616-3p|MIMAT0017996	NA
hsa-miR-3617-5p|MIMAT0017997	NA
hsa-miR-3618|MIMAT0017998	NA
hsa-miR-3619-5p|MIMAT0017999	NA
hsa-miR-23c|MIMAT0018000	1
hsa-miR-3620-3p|MIMAT0018001	NA
hsa-miR-3621|MIMAT0018002	NA
hsa-miR-3622a-5p|MIMAT0018003	NA
hsa-miR-3622a-3p|MIMAT0018004	NA
hsa-miR-3622b-5p|MIMAT0018005	NA
hsa-miR-3622b-3p|MIMAT0018006	NA
hsa-miR-3646|MIMAT0018065	NA
hsa-miR-3648|MIMAT0018068	NA
hsa-miR-3649|MIMAT0018069	NA
hsa-miR-3650|MIMAT0018070	NA
hsa-miR-3651|MIMAT0018071	1
hsa-miR-3652|MIMAT0018072	NA
hsa-miR-3653-3p|MIMAT0018073	3
hsa-miR-3654|MIMAT0018074	NA
hsa-miR-3655|MIMAT0018075	NA
hsa-miR-3656|MIMAT0018076	NA
hsa-miR-3657|MIMAT0018077	NA
hsa-miR-3658|MIMAT0018078	NA
hsa-miR-1273e|MIMAT0018079	NA
hsa-miR-3659|MIMAT0018080	NA
hsa-miR-3660|MIMAT0018081	NA
hsa-miR-3661|MIMAT0018082	NA
hsa-miR-3662|MIMAT0018083	NA
hsa-miR-3663-5p|MIMAT0018084	NA
hsa-miR-3663-3p|MIMAT0018085	NA
hsa-miR-3664-5p|MIMAT0018086	NA
hsa-miR-3665|MIMAT0018087	NA
hsa-miR-3666|MIMAT0018088	NA
hsa-miR-3667-5p|MIMAT0018089	NA
hsa-miR-3667-3p|MIMAT0018090	NA
hsa-miR-3668|MIMAT0018091	NA
hsa-miR-3670|MIMAT0018093	NA
hsa-miR-3671|MIMAT0018094	NA
hsa-miR-3672|MIMAT0018095	NA
hsa-miR-3674|MIMAT0018097	NA
hsa-miR-3675-5p|MIMAT0018098	NA
hsa-miR-3675-3p|MIMAT0018099	NA
hsa-miR-3677-3p|MIMAT0018101	2
hsa-miR-3678-5p|MIMAT0018102	1
hsa-miR-3678-3p|MIMAT0018103	NA
hsa-miR-3679-5p|MIMAT0018104	NA
hsa-miR-3679-3p|MIMAT0018105	NA
hsa-miR-3680-5p|MIMAT0018106	NA
hsa-miR-3680-3p|MIMAT0018107	1
hsa-miR-3681-5p|MIMAT0018108	NA
hsa-miR-3681-3p|MIMAT0018109	NA
hsa-miR-3682-3p|MIMAT0018110	3
hsa-miR-3683|MIMAT0018111	NA
hsa-miR-3684|MIMAT0018112	NA
hsa-miR-3685|MIMAT0018113	NA
hsa-miR-3686|MIMAT0018114	NA
hsa-miR-3687|MIMAT0018115	NA
hsa-miR-3688-3p|MIMAT0018116	NA
hsa-miR-3689a-5p|MIMAT0018117	NA
hsa-miR-3689a-3p|MIMAT0018118	NA
hsa-miR-3690|MIMAT0018119	1
hsa-miR-3691-5p|MIMAT0018120	NA
hsa-miR-3692-5p|MIMAT0018121	NA
hsa-miR-3692-3p|MIMAT0018122	NA
hsa-miR-3713|MIMAT0018164	NA
hsa-miR-3714|MIMAT0018165	NA
hsa-miR-3180|MIMAT0018178	NA
hsa-miR-3907|MIMAT0018179	NA
hsa-miR-3689b-5p|MIMAT0018180	NA
hsa-miR-3689b-3p|MIMAT0018181	NA
hsa-miR-3908|MIMAT0018182	NA
hsa-miR-3909|MIMAT0018183	2
hsa-miR-3910|MIMAT0018184	NA
hsa-miR-3911|MIMAT0018185	NA
hsa-miR-3912-3p|MIMAT0018186	4
hsa-miR-3913-5p|MIMAT0018187	17
hsa-miR-3914|MIMAT0018188	NA
hsa-miR-3915|MIMAT0018189	NA
hsa-miR-3916|MIMAT0018190	NA
hsa-miR-3917|MIMAT0018191	4
hsa-miR-3918|MIMAT0018192	NA
hsa-miR-3919|MIMAT0018193	NA
hsa-miR-3150b-3p|MIMAT0018194	NA
hsa-miR-3920|MIMAT0018195	1
hsa-miR-3921|MIMAT0018196	NA
hsa-miR-3922-3p|MIMAT0018197	1
hsa-miR-3923|MIMAT0018198	NA
hsa-miR-3924|MIMAT0018199	NA
hsa-miR-3925-5p|MIMAT0018200	NA
hsa-miR-3926|MIMAT0018201	3
hsa-miR-3927-3p|MIMAT0018202	NA
hsa-miR-676-5p|MIMAT0018203	1
hsa-miR-676-3p|MIMAT0018204	2
hsa-miR-3928-3p|MIMAT0018205	5
hsa-miR-3929|MIMAT0018206	NA
hsa-miR-3934-5p|MIMAT0018349	NA
hsa-miR-3935|MIMAT0018350	NA
hsa-miR-3936|MIMAT0018351	NA
hsa-miR-3937|MIMAT0018352	NA
hsa-miR-3938|MIMAT0018353	NA
hsa-miR-548y|MIMAT0018354	NA
hsa-miR-3939|MIMAT0018355	NA
hsa-miR-3940-3p|MIMAT0018356	1
