Gene	TCGA-DX-AB2L-01A-32R-A41D-13
hsa-miR-212-3p|MIMAT0000269	12
hsa-miR-181a-3p|MIMAT0000270	3533
hsa-miR-214-5p|MIMAT0004564	932
hsa-miR-214-3p|MIMAT0000271	229
hsa-miR-215-5p|MIMAT0000272	NA
hsa-miR-216a-5p|MIMAT0000273	5
hsa-miR-217|MIMAT0000274	381
hsa-miR-218-5p|MIMAT0000275	362
hsa-miR-218-1-3p|MIMAT0004565	2
hsa-miR-218-2-3p|MIMAT0004566	NA
hsa-miR-219a-5p|MIMAT0000276	8
hsa-miR-219a-1-3p|MIMAT0004567	6
hsa-miR-221-5p|MIMAT0004568	2
hsa-miR-221-3p|MIMAT0000278	543
hsa-miR-222-5p|MIMAT0004569	18
hsa-miR-222-3p|MIMAT0000279	122
hsa-miR-223-5p|MIMAT0004570	8
hsa-miR-223-3p|MIMAT0000280	356
hsa-miR-224-5p|MIMAT0000281	82
hsa-miR-224-3p|MIMAT0009198	6
hsa-miR-200b-5p|MIMAT0004571	NA
hsa-miR-200b-3p|MIMAT0000318	10
hsa-let-7g-5p|MIMAT0000414	1966
hsa-let-7g-3p|MIMAT0004584	45
hsa-let-7i-5p|MIMAT0000415	3628
hsa-let-7i-3p|MIMAT0004585	183
hsa-miR-1-3p|MIMAT0000416	62
hsa-miR-15b-5p|MIMAT0000417	804
hsa-miR-15b-3p|MIMAT0004586	10
hsa-miR-23b-5p|MIMAT0004587	3
hsa-miR-23b-3p|MIMAT0000418	6289
hsa-miR-27b-5p|MIMAT0004588	119
hsa-miR-27b-3p|MIMAT0000419	8930
hsa-miR-30b-5p|MIMAT0000420	722
hsa-miR-30b-3p|MIMAT0004589	2
hsa-miR-122-5p|MIMAT0000421	NA
hsa-miR-122-3p|MIMAT0004590	NA
hsa-miR-124-5p|MIMAT0004591	NA
hsa-miR-124-3p|MIMAT0000422	NA
hsa-miR-125b-5p|MIMAT0000423	8034
hsa-miR-125b-1-3p|MIMAT0004592	4
hsa-miR-128-3p|MIMAT0000424	480
hsa-miR-130a-5p|MIMAT0004593	2
hsa-miR-130a-3p|MIMAT0000425	439
hsa-miR-132-5p|MIMAT0004594	8
hsa-miR-132-3p|MIMAT0000426	653
hsa-miR-133a-3p|MIMAT0000427	13
hsa-miR-135a-5p|MIMAT0000428	NA
hsa-miR-135a-3p|MIMAT0004595	NA
hsa-miR-137|MIMAT0000429	70
hsa-miR-138-5p|MIMAT0000430	NA
hsa-miR-138-2-3p|MIMAT0004596	NA
hsa-miR-140-5p|MIMAT0000431	663
hsa-miR-140-3p|MIMAT0004597	27390
hsa-miR-141-5p|MIMAT0004598	1
hsa-miR-141-3p|MIMAT0000432	3
hsa-miR-142-5p|MIMAT0000433	52
hsa-miR-142-3p|MIMAT0000434	875
hsa-miR-143-5p|MIMAT0004599	228
hsa-miR-143-3p|MIMAT0000435	249514
hsa-miR-144-5p|MIMAT0004600	193
hsa-miR-144-3p|MIMAT0000436	4
hsa-miR-145-5p|MIMAT0000437	10463
hsa-miR-145-3p|MIMAT0004601	316
hsa-miR-152-3p|MIMAT0000438	5423
hsa-miR-153-3p|MIMAT0000439	3
hsa-miR-191-5p|MIMAT0000440	2003
hsa-miR-191-3p|MIMAT0001618	2
hsa-miR-9-5p|MIMAT0000441	765
hsa-miR-9-3p|MIMAT0000442	3
hsa-miR-125a-5p|MIMAT0000443	4143
hsa-miR-125a-3p|MIMAT0004602	27
hsa-miR-125b-2-3p|MIMAT0004603	234
hsa-miR-126-5p|MIMAT0000444	1267
hsa-miR-126-3p|MIMAT0000445	15590
hsa-miR-127-5p|MIMAT0004604	6819
hsa-miR-127-3p|MIMAT0000446	29283
hsa-miR-129-2-3p|MIMAT0004605	NA
hsa-miR-134-5p|MIMAT0000447	9650
hsa-miR-136-5p|MIMAT0000448	717
hsa-miR-136-3p|MIMAT0004606	490
hsa-miR-138-1-3p|MIMAT0004607	NA
hsa-miR-146a-5p|MIMAT0000449	68
hsa-miR-146a-3p|MIMAT0004608	NA
hsa-miR-149-5p|MIMAT0000450	49
hsa-miR-149-3p|MIMAT0004609	NA
hsa-miR-150-5p|MIMAT0000451	345
hsa-miR-150-3p|MIMAT0004610	NA
hsa-miR-154-5p|MIMAT0000452	233
hsa-miR-154-3p|MIMAT0000453	77
hsa-miR-184|MIMAT0000454	1
hsa-miR-185-5p|MIMAT0000455	441
hsa-miR-185-3p|MIMAT0004611	7
hsa-miR-186-5p|MIMAT0000456	1276
hsa-miR-186-3p|MIMAT0004612	NA
hsa-miR-188-5p|MIMAT0000457	5
hsa-miR-188-3p|MIMAT0004613	1
hsa-miR-190a-5p|MIMAT0000458	6
hsa-miR-193a-5p|MIMAT0004614	1757
hsa-miR-193a-3p|MIMAT0000459	29
hsa-miR-194-5p|MIMAT0000460	223
hsa-miR-195-5p|MIMAT0000461	456
hsa-miR-195-3p|MIMAT0004615	79
hsa-miR-206|MIMAT0000462	92
hsa-miR-320a|MIMAT0000510	2511
hsa-miR-200c-5p|MIMAT0004657	1
hsa-miR-200c-3p|MIMAT0000617	39
hsa-miR-155-5p|MIMAT0000646	930
hsa-miR-155-3p|MIMAT0004658	2
hsa-miR-194-3p|MIMAT0004671	NA
hsa-miR-106b-5p|MIMAT0000680	380
hsa-miR-106b-3p|MIMAT0004672	455
hsa-miR-29c-5p|MIMAT0004673	19
hsa-miR-29c-3p|MIMAT0000681	570
hsa-miR-30c-1-3p|MIMAT0004674	3
hsa-miR-200a-5p|MIMAT0001620	4
hsa-miR-200a-3p|MIMAT0000682	NA
hsa-miR-302a-5p|MIMAT0000683	NA
hsa-miR-302a-3p|MIMAT0000684	NA
hsa-miR-219a-2-3p|MIMAT0004675	2
hsa-miR-34b-5p|MIMAT0000685	6
hsa-miR-34b-3p|MIMAT0004676	9
hsa-miR-34c-5p|MIMAT0000686	43
hsa-miR-34c-3p|MIMAT0004677	17
hsa-miR-299-5p|MIMAT0002890	139
hsa-miR-299-3p|MIMAT0000687	33
hsa-miR-301a-3p|MIMAT0000688	11
hsa-miR-99b-5p|MIMAT0000689	104755
hsa-miR-99b-3p|MIMAT0004678	264
hsa-miR-296-5p|MIMAT0000690	6
hsa-miR-296-3p|MIMAT0004679	6
hsa-miR-130b-5p|MIMAT0004680	54
hsa-miR-130b-3p|MIMAT0000691	71
hsa-miR-30e-5p|MIMAT0000692	17744
hsa-miR-30e-3p|MIMAT0000693	17501
hsa-miR-26a-2-3p|MIMAT0004681	22
hsa-miR-361-5p|MIMAT0000703	1345
hsa-miR-361-3p|MIMAT0004682	844
hsa-miR-362-5p|MIMAT0000705	80
hsa-miR-362-3p|MIMAT0004683	15
hsa-miR-363-5p|MIMAT0003385	NA
hsa-miR-363-3p|MIMAT0000707	18
hsa-miR-365a-5p|MIMAT0009199	4
hsa-miR-365a-3p|MIMAT0000710	259
hsa-miR-302b-5p|MIMAT0000714	NA
hsa-miR-302b-3p|MIMAT0000715	NA
hsa-miR-302c-5p|MIMAT0000716	NA
hsa-miR-302c-3p|MIMAT0000717	NA
hsa-miR-302d-5p|MIMAT0004685	NA
hsa-miR-302d-3p|MIMAT0000718	NA
hsa-miR-367-5p|MIMAT0004686	NA
hsa-miR-367-3p|MIMAT0000719	NA
hsa-miR-376c-3p|MIMAT0000720	353
hsa-miR-369-5p|MIMAT0001621	225
hsa-miR-369-3p|MIMAT0000721	271
hsa-miR-370-3p|MIMAT0000722	197
hsa-miR-371a-5p|MIMAT0004687	NA
hsa-miR-371a-3p|MIMAT0000723	1
hsa-miR-372-3p|MIMAT0000724	NA
hsa-miR-373-5p|MIMAT0000725	NA
hsa-miR-373-3p|MIMAT0000726	NA
hsa-miR-374a-5p|MIMAT0000727	180
hsa-miR-374a-3p|MIMAT0004688	3332
hsa-miR-375|MIMAT0000728	10
hsa-miR-376a-5p|MIMAT0003386	39
hsa-miR-376a-3p|MIMAT0000729	70
hsa-miR-377-5p|MIMAT0004689	118
hsa-miR-377-3p|MIMAT0000730	45
hsa-miR-378a-5p|MIMAT0000731	479
hsa-miR-378a-3p|MIMAT0000732	2470
hsa-miR-379-5p|MIMAT0000733	36616
hsa-miR-379-3p|MIMAT0004690	22
hsa-miR-380-5p|MIMAT0000734	34
hsa-miR-380-3p|MIMAT0000735	11
hsa-miR-381-3p|MIMAT0000736	2696
hsa-miR-382-5p|MIMAT0000737	1475
hsa-miR-383-5p|MIMAT0000738	1
hsa-miR-340-5p|MIMAT0004692	60
hsa-miR-340-3p|MIMAT0000750	33
hsa-miR-330-5p|MIMAT0004693	51
hsa-miR-330-3p|MIMAT0000751	12
hsa-miR-328-3p|MIMAT0000752	49
hsa-miR-342-5p|MIMAT0004694	25
hsa-miR-342-3p|MIMAT0000753	898
hsa-miR-337-5p|MIMAT0004695	3
hsa-miR-337-3p|MIMAT0000754	1319
hsa-miR-323a-5p|MIMAT0004696	2
hsa-miR-323a-3p|MIMAT0000755	105
hsa-miR-326|MIMAT0000756	8
hsa-miR-151a-5p|MIMAT0004697	392
hsa-miR-151a-3p|MIMAT0000757	7009
hsa-miR-135b-5p|MIMAT0000758	1
hsa-miR-135b-3p|MIMAT0004698	NA
hsa-miR-148b-5p|MIMAT0004699	10
hsa-miR-148b-3p|MIMAT0000759	295
hsa-miR-331-5p|MIMAT0004700	8
hsa-miR-331-3p|MIMAT0000760	37
hsa-miR-324-5p|MIMAT0000761	68
hsa-miR-324-3p|MIMAT0000762	38
hsa-miR-338-5p|MIMAT0004701	3
hsa-miR-338-3p|MIMAT0000763	1416
hsa-miR-339-5p|MIMAT0000764	151
hsa-miR-339-3p|MIMAT0004702	20
hsa-miR-335-5p|MIMAT0000765	13
hsa-miR-335-3p|MIMAT0004703	167
hsa-miR-133b|MIMAT0000770	1
hsa-miR-325|MIMAT0000771	NA
hsa-miR-345-5p|MIMAT0000772	11
hsa-miR-346|MIMAT0000773	2
hsa-miR-384|MIMAT0001075	NA
hsa-miR-196b-5p|MIMAT0001080	2665
hsa-miR-196b-3p|MIMAT0009201	NA
hsa-miR-422a|MIMAT0001339	NA
hsa-miR-423-5p|MIMAT0004748	170
hsa-miR-423-3p|MIMAT0001340	290
hsa-miR-424-5p|MIMAT0001341	1334
hsa-miR-424-3p|MIMAT0004749	34
hsa-miR-425-5p|MIMAT0003393	680
hsa-miR-425-3p|MIMAT0001343	17
hsa-miR-18b-5p|MIMAT0001412	NA
hsa-miR-18b-3p|MIMAT0004751	NA
hsa-miR-20b-5p|MIMAT0001413	35
hsa-miR-20b-3p|MIMAT0004752	1
hsa-miR-448|MIMAT0001532	NA
hsa-miR-429|MIMAT0001536	4
hsa-miR-449a|MIMAT0001541	1
hsa-miR-450a-5p|MIMAT0001545	215
hsa-miR-431-5p|MIMAT0001625	52
hsa-miR-431-3p|MIMAT0004757	437
hsa-miR-433-3p|MIMAT0001627	31
hsa-miR-329-3p|MIMAT0001629	28
hsa-miR-451a|MIMAT0001631	870
hsa-miR-452-5p|MIMAT0001635	311
hsa-miR-452-3p|MIMAT0001636	7
hsa-miR-409-5p|MIMAT0001638	360
hsa-miR-409-3p|MIMAT0001639	1184
hsa-miR-412-3p|MIMAT0002170	NA
hsa-miR-410-3p|MIMAT0002171	784
hsa-miR-376b-3p|MIMAT0002172	57
hsa-miR-483-5p|MIMAT0004761	35
hsa-miR-483-3p|MIMAT0002173	32
hsa-miR-484|MIMAT0002174	177
hsa-miR-485-5p|MIMAT0002175	10
hsa-miR-485-3p|MIMAT0002176	115
hsa-miR-486-5p|MIMAT0002177	417
hsa-miR-486-3p|MIMAT0004762	NA
hsa-miR-487a-3p|MIMAT0002178	25
hsa-miR-488-5p|MIMAT0002804	NA
hsa-miR-488-3p|MIMAT0004763	NA
hsa-miR-489-3p|MIMAT0002805	1
hsa-miR-490-5p|MIMAT0004764	NA
hsa-miR-490-3p|MIMAT0002806	NA
hsa-miR-491-5p|MIMAT0002807	8
hsa-miR-491-3p|MIMAT0004765	3
hsa-miR-511-5p|MIMAT0002808	31
hsa-miR-146b-5p|MIMAT0002809	2320
hsa-miR-146b-3p|MIMAT0004766	196
hsa-miR-202-5p|MIMAT0002810	NA
hsa-miR-202-3p|MIMAT0002811	NA
hsa-miR-492|MIMAT0002812	NA
hsa-miR-493-5p|MIMAT0002813	602
hsa-miR-493-3p|MIMAT0003161	329
hsa-miR-432-5p|MIMAT0002814	678
hsa-miR-432-3p|MIMAT0002815	NA
hsa-miR-494-3p|MIMAT0002816	79
hsa-miR-495-3p|MIMAT0002817	188
hsa-miR-496|MIMAT0002818	175
hsa-miR-193b-5p|MIMAT0004767	48
hsa-miR-193b-3p|MIMAT0002819	305
hsa-miR-497-5p|MIMAT0002820	277
hsa-miR-497-3p|MIMAT0004768	6
hsa-miR-181d-5p|MIMAT0002821	87
hsa-miR-512-5p|MIMAT0002822	2
hsa-miR-512-3p|MIMAT0002823	2
hsa-miR-498|MIMAT0002824	NA
hsa-miR-520e|MIMAT0002825	NA
hsa-miR-515-5p|MIMAT0002826	NA
hsa-miR-515-3p|MIMAT0002827	NA
hsa-miR-519e-5p|MIMAT0002828	NA
hsa-miR-519e-3p|MIMAT0002829	NA
hsa-miR-520f-3p|MIMAT0002830	NA
hsa-miR-519c-5p|MIMAT0002831	NA
hsa-miR-519c-3p|MIMAT0002832	NA
hsa-miR-520a-5p|MIMAT0002833	3
hsa-miR-520a-3p|MIMAT0002834	4
hsa-miR-526b-5p|MIMAT0002835	11
hsa-miR-526b-3p|MIMAT0002836	NA
hsa-miR-519b-5p|MIMAT0005454	NA
hsa-miR-519b-3p|MIMAT0002837	2
hsa-miR-525-5p|MIMAT0002838	2
hsa-miR-525-3p|MIMAT0002839	NA
hsa-miR-523-5p|MIMAT0005449	NA
hsa-miR-523-3p|MIMAT0002840	NA
hsa-miR-518f-5p|MIMAT0002841	3
hsa-miR-518f-3p|MIMAT0002842	NA
hsa-miR-520b|MIMAT0002843	NA
hsa-miR-518b|MIMAT0002844	7
hsa-miR-526a|MIMAT0002845	NA
hsa-miR-520c-5p|MIMAT0005455	NA
hsa-miR-520c-3p|MIMAT0002846	NA
hsa-miR-518c-5p|MIMAT0002847	1
hsa-miR-518c-3p|MIMAT0002848	1
hsa-miR-524-5p|MIMAT0002849	NA
hsa-miR-524-3p|MIMAT0002850	NA
hsa-miR-517-5p|MIMAT0002851	3
hsa-miR-517a-3p|MIMAT0002852	3
hsa-miR-519d-3p|MIMAT0002853	1
hsa-miR-521|MIMAT0002854	NA
hsa-miR-520d-5p|MIMAT0002855	NA
hsa-miR-520d-3p|MIMAT0002856	1
hsa-miR-517b-3p|MIMAT0002857	3
hsa-miR-520g-3p|MIMAT0002858	NA
hsa-miR-516b-5p|MIMAT0002859	3
hsa-miR-516b-3p|MIMAT0002860	NA
hsa-miR-518e-5p|MIMAT0005450	NA
hsa-miR-518e-3p|MIMAT0002861	1
hsa-miR-518a-5p|MIMAT0005457	NA
hsa-miR-518a-3p|MIMAT0002863	1
